session_id	task	participant_id	source_file	window_index	window_start_lsl	window_end_lsl	sample_rate_hz	duration_s	pupil_left_mean	pupil_right_mean	pupil_mean	pupil_std	pupil_slope_per_s	pupil_missing_frac	gaze_valid_frac
ses-20260312_grp-07_run01	T0	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P2_tobii.tsv.gz	10	328230.981973	328260.981973	49.91016170466452	29.974385000008624	2.413128571428572	2.6409227430555555	2.522538377986966	0.22927235821263187	0.0002650358561234435	0.07748830995323981	0.9225116900467601
ses-20260312_grp-07_run01	T0	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P2_tobii.tsv.gz	11	328245.981973	328275.981973	49.91016170466452	29.974385000008624	2.411911789652248	2.6213805004314064	2.5105573179524154	0.24852806289927568	-0.0002245108179074497	0.07348029392117568	0.9265197060788243
ses-20260312_grp-07_run01	T0	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P2_tobii.tsv.gz	12	328260.981973	328290.981973	49.91016170466452	29.974385000008624	2.457865280985373	2.6013946902654865	2.5240721357850067	0.23847780127054394	0.0016637611093925338	0.055444221776887105	0.9445557782231129
ses-20260312_grp-07_run01	T0	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P2_tobii.tsv.gz	13	328275.981973	328305.981973	49.91016170466452	29.974385000008624	2.5329103885804916	2.6047145650048873	2.564781452192667	0.25035430258632313	9.946006395267856e-05	0.07080828323313293	0.9291917167668671
ses-20260312_grp-07_run01	T0	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P2_tobii.tsv.gz	14	328290.981973	328320.981973	49.91016170466452	29.994420999952126	2.54170653907496	2.595375779162956	2.5640842142353772	0.2431323453197078	-8.81350396005561e-05	0.0527369826435247	0.9472630173564753
ses-20260312_grp-07_run01	T0	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P2_tobii.tsv.gz	15	328305.981973	328335.981973	49.91016170466452	29.974385000008624	2.5163842794759828	2.587384888888889	2.549087260677467	0.21770169225616987	0.0004930347497169745	0.09285237140948564	0.9071476285905143
ses-20260312_grp-07_run01	T0	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P2_tobii.tsv.gz	16	328320.981973	328350.981973	49.91016170466452	29.974385000008624	2.5363078880407124	2.6999416243654824	2.6155381944444445	0.29901505025214953	0.0030168006298225084	0.32665330661322645	0.6733466933867736
ses-20260312_grp-07_run01	T0	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P2_tobii.tsv.gz	17	328335.981973	328365.981973	49.91016170466452	29.994421000010334	2.6071871227364185	2.8812360000000004	2.7708152173913048	0.5551031065196896	0.0012942207275879493	0.5700934579439252	0.42990654205607476
ses-20260312_grp-07_run01	T0	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P2_tobii.tsv.gz	18	328350.981973	328380.981973	49.91016170466452	29.974385000008624	2.547801169590643	2.8077779605263156	2.726382949932341	0.5699297366958389	-0.0008129020151858304	0.5063460253841016	0.49365397461589844
ses-20260312_grp-07_run01	T0	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P2_tobii.tsv.gz	19	328365.981973	328395.981973	49.91016170466452	29.97438400000101	2.4138577844311375	2.772194552529183	2.608242579324463	0.4033940035714466	-0.0015398667828835143	0.3473613894455578	0.6526386105544422
ses-20260312_grp-07_run01	T0	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P2_tobii.tsv.gz	20	328380.981973	328410.981973	49.91016170466452	29.994421000010334	2.52173121869783	2.9473805175038055	2.7286893203883498	0.41742115842689476	0.008334747803269971	0.4499332443257677	0.5500667556742324
ses-20260312_grp-07_run01	T0	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P2_tobii.tsv.gz	21	328395.981973	328425.981973	49.91016170466452	29.974385000008624	2.9070783847980994	3.189455337690632	3.033168795620438	0.3581940194097122	-0.001105239304026187	0.633934535738143	0.36606546426185704
ses-20260312_grp-07_run01	T0	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P2_tobii.tsv.gz	22	328410.981973	328440.981973	49.91016170466452	29.974385000008624	2.9783083573487033	3.00694578313253	2.9578949880668257	0.3602644990266042	-0.005698177778002038	0.7201068804275217	0.2798931195724783
ses-20260312_grp-07_run01	T0	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P2_tobii.tsv.gz	23	328425.981973	328455.981973	49.91016170466452	29.974385000008624	2.7775268542199485	2.7547119341563784	2.7587223451327434	0.21085033489743088	-0.0013389750680339958	0.39612558450233804	0.603874415497662
ses-20260312_grp-07_run01	T0	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P2_tobii.tsv.gz	24	328440.981973	328470.981973	49.91016170466452	29.974385000008624	2.63199373881932	2.7265302366345314	2.6726440922190204	0.23813172873783267	-0.0015893566305633744	0.072812291249165	0.927187708750835
ses-20260312_grp-07_run01	T0	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P2_tobii.tsv.gz	25	328455.981973	328485.981973	49.91016170466452	29.99442200001795	2.338121338912134	2.696031553398058	2.5319106967615306	0.31326741982412293	-0.002970720990442083	0.3197596795727637	0.6802403204272364
ses-20260312_grp-07_run01	T0	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P2_tobii.tsv.gz	26	328470.981973	328500.981973	49.91016170466452	29.974385000008624	2.173943396226415	2.6785702917771883	2.3867781065088756	0.3486769779249502	-0.0003960697231518032	0.5484301937207748	0.4515698062792251
ses-20260312_grp-07_run01	T0	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P2_tobii.tsv.gz	27	328485.981973	328515.981973	49.91016170466452	29.974385000008624	2.71577034358047	2.671320627802691	2.65644938271605	0.6851065235950234	0.004831020107263242	0.4589178356713427	0.5410821643286573
ses-20260312_grp-07_run01	T0	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P2_tobii.tsv.gz	28	328500.981973	328530.981973	49.91016170466452	29.994421000010334	3.0694976076555025	2.648958456973294	2.767393990929705	0.6956475016332029	-0.0019707991956746016	0.411214953271028	0.5887850467289719
ses-20260312_grp-07_run01	T0	P3	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P3_tobii.tsv.gz	0	328080.931173	328110.931173	49.91016170466452	29.994459000008646	3.0851542983100666	3.234154919236417	3.1585294943820226	0.4347255420180535	-0.00939151841822906	0.049399198931909215	0.9506008010680908
ses-20260312_grp-07_run01	T0	P3	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P3_tobii.tsv.gz	1	328095.931173	328125.931173	49.91016170466452	29.974421999999322	3.0094734545454545	3.183188458729	3.0904484827099505	0.3194911728903646	0.0036508958556921134	0.053440213760855046	0.9465597862391449
