onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms	context_label
353.0	19.0	P4	Number four, it could be relative because from my perspective, GN is a big corporation and maybe sometimes people do not feel so comfortable talking to someone privately about stress or workload or it's not managed efficiently.	SPK				shared	manual	0.0	1489.0	5586.0			
372.0	0.573	GROUP	(0.6)	SIL				shared	manual	0.0				433.0	
372.14	0.851	P2	mmh	BCK				shared	manual	-433.0				851.0	
372.573	8.422	P4	And then having a workshop negotiation on that could help people understand how to manage it and deal with it.	SPK		0.019024	7.11	mic12	manual	-418.0	573.0	25159.0		418.0	
380.995	1.821	GROUP	(1.8)	SIL				shared	manual	0.0				500.0	
381.413	0.5	P2	mm-hmm	BCK				shared	manual	-1403.0				500.0	
382.816	9.727	P4	I would waive the AI, but because I know that it's very relevant right now, but I feel like there are a lot of efforts put into that at the moment.	SPK		0.038015	6.96	mic12	manual	903.0	1821.0	35402.0		500.0	
388.706	0.5	P2	mmh	BCK				shared	manual	-3837.0			5890.0	500.0	
392.543	1.101	GROUP	(1.1)	SIL				shared	manual	3337.0				778.0	
392.826	0.778	P2	mm-hmm	BCK				shared	manual	-818.0				778.0	
393.644	4.943	P4	There's a lot of initiatives and teams working and people are getting hired for that.	SPK		0.020463	7.07	mic12	manual	40.0	1101.0	46230.0			
398.587	0.12	GROUP	(.)	SIL				shared	manual	0.0					
398.707	9.367	P4	So I think people are very close kind of to get this or to understand the actual productivity of AI and so on.	SPK		0.020694	7.12	mic12	manual	0.0	120.0	51293.0			
408.074	1.261	GROUP	(1.3)	SIL				shared	manual	0.0				1531.0	
408.248	0.88	P2	mm-hmm	BCK				shared	manual	-1087.0				1407.0	
408.601	0.651	P3	mmh	BCK				shared	manual	-527.0				1178.0	
409.335	4.183	P4	So that's why I would lean more towards topic two and four.	SPK		0.021455	7.42	mic12	manual	83.0	1261.0	61921.0		0.0	
413.518	1.24	GROUP	(1.2)	SIL				shared	manual	0.0					
414.758	2.402	P4	Probably four would be the best one I'd pick.	SPK		0.0172	6.37	mic12	manual	0.0	1240.0	67344.0			
417.16	0.864	GROUP	(0.9)	SIL				shared	manual	0.0					
418.024	17.394	P2	Do we think that, you know, okay, so if we're able to work better across teams, does that in a way help relieve some stress and workload if we're able to communicate better about who's doing what and when they're doing it and whatnot?	SPK		0.022363	5.02	mic10	manual	0.0	864.0	864.0			
435.418	1.337	GROUP	(1.3)	SIL				shared	manual	0.0					
