group_id	task_id	window_index	hmm_state
grp-10	T2	5	1
grp-10	T2	6	1
grp-10	T2	7	1
grp-10	T2	8	1
grp-10	T2	9	1
grp-10	T2	10	1
grp-10	T2	11	1
grp-10	T2	12	0
grp-10	T2	13	0
grp-10	T2	14	4
grp-10	T2	15	4
grp-10	T2	16	4
grp-10	T2	17	0
grp-10	T2	18	1
grp-10	T2	19	1
grp-10	T2	20	1
grp-10	T2	21	4
grp-10	T2	22	4
grp-10	T2	23	4
grp-10	T2	24	4
grp-10	T2	25	4
grp-10	T2	26	0
grp-10	T2	27	0
grp-10	T2	28	0
grp-10	T2	29	0
grp-10	T2	30	3
grp-10	T2	31	3
grp-10	T2	32	3
grp-10	T3	8	1
grp-10	T3	9	1
grp-10	T3	10	1
grp-10	T3	11	1
grp-10	T3	12	1
grp-10	T3	13	4
grp-10	T3	14	0
grp-10	T3	15	0
grp-10	T3	16	0
grp-10	T3	17	0
grp-10	T3	18	2
grp-10	T3	19	2
grp-10	T3	20	2
grp-10	T3	21	2
grp-10	T3	22	3
grp-10	T3	23	3
grp-10	T3	24	3
grp-11	T1	0	1
grp-11	T1	1	1
grp-11	T1	2	1
grp-11	T1	3	1
grp-11	T1	4	1
grp-11	T1	5	1
grp-11	T1	6	5
grp-11	T1	7	5
grp-11	T1	8	5
grp-11	T1	9	5
grp-11	T1	10	5
grp-11	T1	11	5
grp-11	T1	12	5
grp-11	T1	13	1
grp-11	T1	14	1
grp-11	T1	15	1
grp-11	T1	16	4
grp-11	T1	17	0
grp-11	T1	18	4
grp-11	T1	19	3
grp-11	T1	20	3
grp-11	T1	21	3
grp-11	T2	0	4
grp-11	T2	1	4
grp-11	T2	2	4
grp-11	T2	3	3
grp-11	T2	4	3
grp-11	T2	5	3
grp-11	T2	6	1
grp-11	T2	7	1
grp-11	T2	8	1
grp-11	T2	9	1
grp-11	T2	10	4
grp-11	T2	11	4
grp-11	T2	12	4
grp-11	T2	13	4
grp-11	T2	14	4
grp-11	T2	15	0
grp-11	T2	16	0
grp-11	T2	17	0
grp-11	T2	18	0
grp-11	T2	19	0
grp-11	T2	20	0
