session_id	participant_id	et_available	sample_rate_hz	duration_s	gaze_valid_frac	gaze_out_of_bounds_frac	gaze_x_mean	gaze_y_mean	gaze_x_std	gaze_y_std	gaze_dispersion	gaze_velocity_mean	gaze_velocity_p95	pupil_mean	pupil_std	pupil_slope_per_s	pupil_missing_frac	pupil_range	pupil_velocity_mean	pupil_left_mean	pupil_right_mean	pupil_left_std	pupil_right_std	pupil_left_missing_frac	pupil_right_missing_frac	pupil_lr_diff_mean	blink_count_est	blink_rate_per_min	blink_duration_mean_s	blink_detectable	qc_flag	qc_notes
ses-20260317_grp-09_run01	P3	True	49.91016155966782	59.98871100007091	0.968948247078464	0.15161957270847692	0.4736048242591316	0.6318550310130944	0.11357964224187359	0.2638573233497647	0.2684418069452119	0.6511966262915423	3.246677237107406	3.5161050999310826	0.23486625037080042	-0.0013212425063718431	0.031051752921535947	3.3019999999999996	1.9541514095754628	3.3575075891281325	3.6808217753120664	0.21533041626865435	0.24041622800491316	0.05409015025041741	0.037061769616026696	0.3358834813499112	11	11.002070039464924	0.09471718183803288	True	gaze_out_of_bounds	More than 10 % of valid gaze samples fall outside the scene-camera frame [0, 1] in either axis; possible calibration drift or head rotation artefacts.
ses-20260317_grp-09_run01	P4	True	49.91016155966782	59.98877499997616	0.89449081803005	0.0070921985815602835	0.5145356476297125	0.6446574841358715	0.10738964506058259	0.21713588136699663	0.19741202294694435	0.5975560384370102	2.9119213025770305	3.26826838372527	0.2698564177499937	0.0007082516131362705	0.10550918196994996	5.596	2.222817205184872	3.2240055335968383	3.31109391634981	0.25194971573295505	0.282190886640432	0.1552587646076795	0.12186978297161932	0.10858444175735592	34	34.00636202357543	0.135539882354137	True	ok	ok
ses-20260317_grp-10_run01	P1	True	49.77848573836144	59.98853100000002	1.0	0.003679175864606328	0.44540607064017657	0.48754098601913176	0.14894864060665486	0.1254557797937138	0.17292268301838906	1.2201772829501332	4.9967853541207115	3.4874957689477553	0.3042990341884108	0.0020069905992255777	0.0	3.7829999999999995	3.820655277978399	3.478453759398496	3.4960316780821916	0.31752329576037186	0.31587756486145147	0.021339220014716664	0.14054451802796175	0.16258252853380162	5	5.000955932726539	0.1322279999999864	True	ok	ok
ses-20260317_grp-10_run01	P2	True	49.78839930297585	59.968547	1.0	0.0006802721088435374	0.6752057142857143	0.4865375170068027	0.05195980787121528	0.04821711812447217	0.045560643752644375	0.6359073304427606	2.502266882511248	3.674084353741497	0.17983431772057448	0.0006104770387049412	0.0	2.8429999999999995	2.0408219965594205	3.7602206872121853	3.5908136002761477	0.21135474115124156	0.17983522867697438	0.03979591836734697	0.014625850340136082	0.18260791366906473	0			False	blink_detection_unreliable	Gaze validity is too low (< 70%) to distinguish blinks from tracking failures; blink_count_est, blink_rate_per_min, and blink_duration_mean_s are set to NaN. When gaze_valid is stuck at 1.0 (>= 99%), pupil-NaN transitions are used as a fallback instead of raising this flag.
ses-20260317_grp-10_run01	P3	True	49.800796812872115	59.98853300000002	1.0	0.02240325865580448	0.39106659877800404	0.498342328581127	0.09077424686849056	0.13509665707218446	0.11095356049584346	0.35796472256107964	1.2519819324083334	3.4256220298710116	0.1613407681771357	-0.0002734189436590414	0.0	2.4465	1.7878402463522671	3.497539408866995	3.354137592137592	0.1716813613245525	0.1833368737838406	0.035302104548540436	0.03292600135777324	0.17065245901639342	13	13.002484991589972	0.09556461538462074	True	ok	ok
ses-20260317_grp-10_run01	P4	True	49.77353043656482	59.98853200000002	1.0	0.0003480682213713888	0.46210995475113126	0.3387312913331013	0.08075321882936438	0.057347102901940825	0.08352746468206804	0.3808263985759937	1.8798163739983316	3.167073790462931	0.21111725350856972	-0.0010154007019935389	0.0	2.796	1.427085797755126	3.1328896011396012	3.207108108108108	0.20734829845436564	0.21049967522246185	0.022624434389140302	0.008353637312913276	0.09711206896551723	0			False	blink_detection_unreliable	Gaze validity is too low (< 70%) to distinguish blinks from tracking failures; blink_count_est, blink_rate_per_min, and blink_duration_mean_s are set to NaN. When gaze_valid is stuck at 1.0 (>= 99%), pupil-NaN transitions are used as a fallback instead of raising this flag.
ses-20260318_grp-11_run01	P1	True	49.88526389302663	59.985896999999994	0.333889816360601	0.005	0.481719400589	0.55077589947481	0.12680351286598612	0.20877555359609165	0.2299108958388824	2.8104391535358837	14.1446147464778	2.8693469999749994	0.3858192580996987	0.002646742545312623	0.666110183639399	2.49000013	6.512606733410294	2.7605621613243243	3.1415000004020106	0.33151199521928604	0.4073877051943546	0.7529215358931552	0.8671118530884808	0.4552463799275362	0			False	gaze_low_validity;pupil_low_coverage;pupil_left_low_coverage;pupil_right_low_coverage;blink_detection_unreliable	Fewer than 70 % of gaze samples are marked valid; gaze-position and velocity features may be unreliable. | Combined (mean) pupil diameter is missing for more than 30 % of samples; pupil features should be treated with caution. | Left-eye pupil diameter is missing for more than 30 % of samples. | Right-eye pupil diameter is missing for more than 30 % of samples. | Gaze validity is too low (< 70%) to distinguish blinks from tracking failures; blink_count_est, blink_rate_per_min, and blink_duration_mean_s are set to NaN. When gaze_valid is stuck at 1.0 (>= 99%), pupil-NaN transitions are used as a fallback instead of raising this flag.
ses-20260318_grp-11_run01	P2	True	49.89646483548951	59.98988699999998	0.9509181969949917	0.4041432584269663	0.49792900223700837	0.7499934343458567	0.0408138930486553	0.2943641974705401	0.28561503631685564	0.3591379974696061	1.7187826941982245	2.7586295642573733	0.20877495943890118	-0.0014045884921387662	0.049081803005008307	5.9090000400000005	1.1302538723530369	2.7601120271331423	2.7586859692194245	0.19235910693659325	0.20922767584881757	0.06711185308848078	0.07178631051752926	0.06247249144900952	10	10.00168578413892	0.2123637000000059	True	gaze_out_of_bounds	More than 10 % of valid gaze samples fall outside the scene-camera frame [0, 1] in either axis; possible calibration drift or head rotation artefacts.
ses-20260318_grp-11_run01	P3	True	49.90144464683306	59.989408	0.9015025041736227	0.01	0.5524862220830741	0.731137666527111	0.08908787772946836	0.13867378364886543	0.14919061771362846	0.7156399541761057	3.1290434987560523	2.8880318522203705	0.28391282120695804	0.0015439296474036909	0.09849749582637735	7.845999959999999	2.632285422463802	2.893774829617134	2.8751968639058822	0.2314029736586552	0.2902742597489275	0.11919866444073457	0.1485809682804674	0.10276285994774921	22	22.00388441906278	0.12837668181817527	True	ok	ok
ses-20260318_grp-11_run01	P4	True	50.04003202563606	59.990740999999986	0.7200647249190939	0.028314606741573035	0.542705258196854	0.5968313258357754	0.12906545017623225	0.19536035108683245	0.20095408051202504	1.716699760376908	5.276918160821676	3.2676993262898875	0.4890267159225534	-0.00012930641184970631	0.2799352750809061	6.07299984	6.494571191229935	3.1472125900653203	3.328106382876966	0.24037026223182797	0.4902875463179199	0.4550161812297735	0.30032362459546924	0.18242566096853793	66	66.0101864719424	0.12295840909090938	True	pupil_left_low_coverage;pupil_right_low_coverage;blink_rate_unusual	Left-eye pupil diameter is missing for more than 30 % of samples. | Right-eye pupil diameter is missing for more than 30 % of samples. | Estimated blink rate (when detection is reliable) is outside the expected range (2–45 blinks/min); possible systematic gaze-validity artefact.
ses-20260318_grp-12_run01	P1	True	49.91016170919566	222.14276600000085	0.7184343434343434	0.007908611599297012	0.5483577077579714	0.5384348857644992	0.08759187117120439	0.16670097207060677	0.1650061796383233	0.9084247357854237	4.2970475338279535	2.3919306427316096	0.535943727634089	-0.0006926509008968426	0.2815656565656566	7.593	5.38528217463704	2.45644234125386	2.244284974093264	0.5279951706086026	0.42100619483217044	0.32819264069264065	0.35597041847041844	0.24602974033816424	106	28.63023682706812	0.11889482075474796	True	pupil_left_low_coverage;pupil_right_low_coverage	Left-eye pupil diameter is missing for more than 30 % of samples. | Right-eye pupil diameter is missing for more than 30 % of samples.
ses-20260318_grp-12_run01	P2	True	49.91016170919566	222.14258100000006	0.897005772005772	0.038709028755278506	0.38832589985923993	0.6402593203297808	0.0914706654455938	0.17316558737118765	0.16692350685572024	0.8646722215252362	4.191379656306878	3.498611803740197	0.39176263645139586	-0.0007083172488936537	0.10299422799422797	5.741	4.336924445866607	3.492702490873953	3.5009513279018094	0.3838595210610149	0.38537734959089015	0.15999278499278502	0.14763708513708518	0.15141036398684657	129	34.84248704213983	0.10235610077519554	True	ok	ok
