session_id	task_id	participant_id	source_file	window_index	window_start_lsl	window_end_lsl	et_available	sample_rate_hz	duration_s	gaze_valid_frac	gaze_out_of_bounds_frac	gaze_x_mean	gaze_y_mean	gaze_x_std	gaze_y_std	gaze_dispersion	gaze_velocity_mean	gaze_velocity_p95	pupil_mean	pupil_std	pupil_slope_per_s	pupil_missing_frac	pupil_range	pupil_velocity_mean	pupil_left_mean	pupil_right_mean	pupil_left_std	pupil_right_std	pupil_left_missing_frac	pupil_right_missing_frac	pupil_lr_diff_mean	blink_count_est	blink_rate_per_min	blink_duration_mean_s	blink_detectable	qc_flag	qc_notes
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	10	328230.922928	328260.922928	True	49.91016170466452	29.97437200002605	0.9498997995991983	0.0	0.5041215893108298	0.6917009142053446	0.06624922942103222	0.16758821152432204	0.15515972620859306	0.41311457264695606	1.8735129071835577	2.698712376933896	0.2370652321731735	0.004390855797357368	0.05010020040080165	1.376	2.794018272300965	2.7954139402560454	2.605052149400987	0.26157900694698444	0.2582342629478406	0.0607882431529726	0.05210420841683372	0.21589451176051316	12	24.020519929470893	0.10018175000247236	True	ok	ok
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	11	328245.922928	328275.922928	True	49.91016170466452	29.974373000033665	0.9498997995991983	0.0710267229254571	0.4983522503516175	0.6979116033755274	0.07380650448258151	0.1948451162433147	0.17995772320302347	0.4791219967602356	2.0890505176081358	2.739464135021097	0.27233107536014245	-0.0011928081649994228	0.05010020040080165	2.1089999999999995	3.0741834734907445	2.836617081850534	2.640093352192362	0.3119285710621346	0.2796466016904099	0.061456245824983324	0.055444221776887126	0.22974803149606296	11	22.01880920075488	0.11111054546728899	True	ok	ok
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	12	328260.922928	328290.922928	True	49.91016170466452	29.974372999975458	0.9519038076152304	0.07087719298245614	0.5153744561403509	0.7439117192982456	0.07157533393713919	0.16924419930827808	0.1466902430634368	0.5430260166903256	2.2945493920583315	2.7379691228070175	0.26297191650661167	0.0020643019633614828	0.04809619238476959	2.3609999999999998	3.496162067724775	2.837899572649573	2.632970380818054	0.324756593970704	0.2620870783543793	0.06212424849699394	0.052772211088844334	0.2507974230493915	11	22.01880920079764	0.10382472727426582	True	ok	ok
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	13	328275.922928	328305.922928	True	49.91016170466452	29.974371999967843	0.9231796927187709	0.0	0.4988659189580319	0.5510633863965267	0.10292397790492487	0.2268284982480726	0.24284678877695653	0.4995879850234108	2.316300026495552	2.9508589001447176	0.2727703965023555	0.004665518049015642	0.07682030728122913	2.456	2.9262787370588637	2.9738606557377048	2.930136	0.29046567645280486	0.3255099557957971	0.1035404141616566	0.08149632598530399	0.21808838951310858	15	30.02564991189692	0.1162108666690377	True	ok	ok
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	14	328290.922928	328320.922928	True	49.91016170466452	29.994408999977168	0.9259012016021362	0.0	0.5151882480173036	0.5030712328767124	0.12545026158417377	0.23561316059070492	0.25579714201335113	0.719200105689872	3.3903161613926334	2.9636052631578944	0.2749042320386775	-0.0025078035834450096	0.07409879839786382	3.078	3.8713119254978743	2.9183363295880147	3.0058042521994133	0.3077973821452059	0.29940474025358654	0.10881174899866486	0.08945260347129502	0.21865320121951223	17	34.006337647818846	0.10018188234843205	True	ok	ok
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	15	328305.922928	328335.922928	True	49.91016170466452	29.97437200002605	0.9352037408149633	0.0	0.5258175714285714	0.6558794285714286	0.10716753115613908	0.22668638743481026	0.22097229305229016	0.7984416716857978	3.630603072285811	2.8399275000000004	0.27566391985175664	0.0001796261443569166	0.06479625918503673	3.1759999999999997	4.662532762225245	2.8282779411764705	2.8421723388848665	0.31994943871952286	0.30643706509040386	0.09151636606546432	0.07748830995323985	0.23230052199850856	16	32.02735990596119	0.09767731249667122	True	ok	ok
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	16	328320.922928	328350.922928	True	49.91016170466452	29.974373000033665	0.9372077488309953	0.0	0.5030409836065574	0.640872416250891	0.06747189723292206	0.21388474181564682	0.21409269230243097	0.49956329262201343	2.425499319687915	2.944384533143264	0.2725204508786293	0.0033104117537802397	0.06279225116900466	2.4525	3.230238053284227	2.9661699489423774	2.9218165596002854	0.3141304293192339	0.28188066769088077	0.08416833667334667	0.064128256513026	0.17056026296566837	13	26.022229055437588	0.10326415384546496	True	ok	ok
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	17	328335.922928	328365.922928	True	49.91016170466452	29.994407999969553	0.9205607476635514	0.0007251631617113851	0.4937564902102973	0.47299006526468446	0.06340521003413307	0.19951115761161287	0.17602350767559913	0.40507774907471533	1.9675978029393029	3.104028281363307	0.20012917039235906	0.0023883759761278715	0.07943925233644855	2.175	2.225418740571785	3.1093068783068785	3.105974526928675	0.21917842782891203	0.20633791074898963	0.11682242990654201	0.08277703604806408	0.12280273141122912	18	36.0067116510883	0.08793722221808922	True	ok	ok
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	18	328350.922928	328380.922928	True	49.91016170466452	29.974372999975458	0.8864395457581831	0.0007535795026375283	0.5250763376036172	0.4427761868877167	0.0932751683388274	0.1603373014123481	0.1595005422617126	0.6590647601281691	3.6130791846985817	3.257015825169555	0.22888154494943705	0.0023655538109153317	0.11356045424181693	2.6420000000000003	3.2573819767626713	3.257504784688995	3.277514025777103	0.25127192465663056	0.2208635431512992	0.16232464929859725	0.11890447561790252	0.1582552166934189	21	42.03590847425004	0.10590647619184372	True	ok	ok
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	19	328365.922928	328395.922928	True	49.91016170466452	29.974371999967843	0.8851035404141616	0.0	0.5491785660377357	0.5409132075471699	0.09767738059657366	0.17673391418114157	0.18486578722905445	0.7764263528098534	3.8812631615733295	3.264637358490566	0.26169067870546003	-0.0026731755017623685	0.11489645958583838	2.817000000000001	3.8565392487974712	3.2530760697305867	3.2877210007581494	0.2860036082709141	0.2754892557690485	0.15698062792251166	0.11890447561790252	0.1919816878980892	15	30.02564991189692	0.1215539333371756	True	ok	ok
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	20	328380.922928	328410.922928	True	49.91016170466452	29.994409000035375	0.9392523364485982	0.0	0.5275034825870647	0.6577909026297086	0.09907987313315436	0.18234032779700285	0.19728873137652828	0.6066062653487628	2.7999943329568495	3.0064392324093814	0.2899888891511353	-0.0034755168219096355	0.06074766355140182	2.397000000000001	3.1058768430939785	2.996964783565664	3.013088319088319	0.28853434664294547	0.3290669978375764	0.09012016021361813	0.06275033377837114	0.16819264705882353	8	16.00298242247193	0.10268625000753673	True	ok	ok
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	21	328395.922928	328425.922928	True	49.91016170466452	29.97437200002605	0.9732798931195725	0.0006863417982155113	0.5920520933424845	0.6300433081674673	0.11355251750649419	0.17080494355290263	0.19040521979500685	0.6997316721914246	2.924939212234485	3.082213109128346	0.34339670384429943	0.006554344667200396	0.026720106880427474	2.4480000000000004	3.355978627256456	3.0848353969410054	3.0722627586206896	0.37192870550799273	0.3446835799225894	0.08283233132932533	0.03139612558450233	0.16441361639824303	7	14.011969958858021	0.07442071429354005	True	ok	ok
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	22	328410.922928	328440.922928	True	49.91016170466452	29.974372999975458	0.9432197728790915	0.000708215297450425	0.6231264872521246	0.46677570821529746	0.08863113405845487	0.11564219830533043	0.13444277678397137	0.7907169015320764	3.704858271168614	3.222267351274787	0.264098267139365	-0.002519012605770048	0.056780227120908466	2.4480000000000004	3.598541027535841	3.2010895865237368	3.2465698005698003	0.3264117347941316	0.2369263294438187	0.1275885103540414	0.06212424849699394	0.1886633281972265	10	20.0170992734524	0.10218530000420287	True	ok	ok
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	23	328425.922928	328455.922928	True	49.91016170466452	29.974372999975458	0.9305277221108884	0.0	0.5502386216798277	0.42544644651830577	0.07625664304275716	0.08070924909440565	0.08287665328142309	0.5407029853517702	3.1558019342995847	3.107395549174444	0.16747413157523985	0.0002565732672716656	0.06947227788911159	1.8155000000000003	2.5286590769248067	3.0668888048411493	3.152842446043166	0.20597402758863298	0.16778297582088547	0.11690046760187045	0.07147628590514365	0.16341925701288856	10	20.0170992734524	0.10218529999256135	True	ok	ok
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	24	328440.922928	328470.922928	True	49.91016170466452	29.97437200002605	0.9098196392785571	0.0007342143906020558	0.5132003671071953	0.4642445668135096	0.09470172375927643	0.15267714692431034	0.13813644173411954	0.5544151236816335	3.0375930618652274	3.091548825256975	0.16419958822933933	0.0001584608485353017	0.09018036072144286	2.3019999999999996	2.823840918986227	3.067947448591013	3.122186895011169	0.19219719931013604	0.17491509713507378	0.12291249164996665	0.10287241148964599	0.16560510046367852	20	40.03419988245149	0.083150749997003	True	ok	ok
