group_id	task_id	window_index	window_start_s	n_participants	n_physio_valid	group_hr_mean_bpm_mean	group_hr_mean_bpm_std	group_hrv_rmssd_ms_mean	group_hrv_rmssd_ms_std	group_eda_tonic_mean_mean	group_eda_tonic_mean_std	group_eda_phasic_rate_hz_mean	group_eda_phasic_rate_hz_std	group_temp_mean_mean	group_temp_mean_std	tr_spk_count	tr_spk_duration_s	tr_silence_duration_s	tr_backchannel_count	tr_overlap_count	tr_competitive_overlap	tr_cooperative_overlap	tr_collaborative_overlap	tr_needs_review_overlap	tr_conflict_overlap_ratio	tr_laughter_count	tr_filled_pause_count	tr_n_active_speakers	tr_speaking_entropy	tr_overlap_time_s	group_et_pupil_mean_mean	group_et_pupil_mean_std	group_et_pupil_std_mean	group_et_pupil_std_std	group_et_pupil_slope_per_s_mean	group_et_pupil_slope_per_s_std	group_et_blink_rate_per_min_mean	group_et_blink_rate_per_min_std	group_et_gaze_dispersion_mean	group_et_gaze_dispersion_std	group_et_gaze_valid_frac_mean	group_et_gaze_valid_frac_std	group_et_gaze_velocity_mean_mean	group_et_gaze_velocity_mean_std	tr_ovl_simultaneous	tr_ovl_backchannel	tr_ovl_smooth	tr_ovl_competitive_timing	tr_ovl_floor_fight	tr_ovl_context_collaborative	tr_ovl_context_competitive	tr_ovl_long_ratio	tr_ovl_short_ratio	tr_ovl_collaboration_index
grp-07	T2	5	150.0	4	4	71.1956	15.602	187.1492	59.091	0.1762	0.0816	0.1334	0.1123	36.3023	1.0714	13.0	30.882	2.198	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	1.3942	8.167	2.7442	0.2339	0.3208	0.1101	0.0038	0.0018	30.0256	23.7971	0.1289	0.0458	0.9097	0.1125	1.7258	2.4295	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
grp-07	T2	6	180.0	4	4	65.5389	2.564	163.9328	72.6162	0.1729	0.0823	0.2838	0.0694	36.3063	1.0688	2.0	26.302	10.244	1.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.3896	9.342	2.9545	0.2732	0.3709	0.2346	0.0027	0.0016	18.0033	13.859	0.1993	0.0675	0.8835	0.1374	2.3649	3.4221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T2	7	210.0	4	4	65.8167	12.8992	154.8168	34.6424	0.168	0.0859	0.3507	0.0431	36.3156	1.0647	4.0	34.384	3.618	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	1.0238	24.872	3.1356	0.0986	0.5329	0.6959	0.0029	0.0073	17.3481	11.0246	0.2409	0.1696	0.8434	0.2268	2.575	4.0785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T2	8	240.0	4	4	62.652	5.7152	176.9901	37.9718	0.1609	0.0873	0.2169	0.0578	36.3259	1.0674	6.0	27.009	2.322	0.0	2.0	1.0	1.0	1.0	0.0	0.5	0.0	0.0	3.0	1.0556	23.272	3.322	0.3925	0.6329	0.858	-0.0209	0.0455	16.6809	11.7289	0.276	0.2293	0.7675	0.3652	2.6195	4.3433	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.6666666666666666	0.3333333333333333	0.0
grp-07	T2	9	270.0	4	4	67.0716	7.7996	163.5122	56.0297	0.1622	0.0902	0.1919	0.0996	36.3231	1.08	8.0	24.456	5.658	0.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	3.0	1.0754	4.824	2.9671	0.4442	0.2655	0.0893	0.0005	0.0022	21.3412	15.2768	0.158	0.0694	0.7074	0.4448	1.9854	2.9448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T2	10	300.0	4	4	72.5429	14.174	162.027	33.2002	0.173	0.0912	0.1837	0.0695	36.329	1.0866	4.0	27.497	1.756	5.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	0.6326	8.081	2.9916	0.2065	0.2912	0.1488	-0.0011	0.0039	24.0204	12.5007	0.178	0.1079	0.7139	0.4192	1.7239	2.276	0.0	0.0	1.0	1.0	5.0	0.0	0.0	0.8571428571428571	0.0	0.0
grp-07	T2	11	330.0	4	4	74.3345	9.1347	142.9855	35.5311	0.1746	0.079	0.2255	0.0167	36.3404	1.0955	8.0	55.23	4.351	0.0	3.0	0.0	2.0	1.0	1.0	0.0	0.0	1.0	1.0	-0.0	44.425	2.8598	0.3194	0.3091	0.1994	-0.0017	0.0039	27.3531	12.0708	0.1434	0.0567	0.7331	0.3649	1.457	1.6753	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.25	0.25	0.0
grp-07	T2	12	360.0	4	4	75.277	4.7128	160.8127	35.557	0.1709	0.0842	0.1919	0.0878	36.3509	1.0989	1.0	15.945	0.78	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	-0.0	0.0	2.8491	0.4865	0.3077	0.1517	0.0004	0.003	22.686	19.025	0.1395	0.0361	0.7697	0.3393	1.0541	1.1032	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.5	0.0	0.0
grp-07	T2	13	390.0	4	4	77.2885	15.0199	168.4602	61.4684	0.1734	0.0948	0.3337	0.1416	36.3635	1.0957	3.0	24.57	0.6	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	-0.0	1.96	2.8078	0.5983	0.2722	0.1446	-0.0017	0.001	16.6809	15.5482	0.123	0.0382	0.7924	0.3335	0.8901	0.8819	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
grp-07	T2	14	420.0	4	4	78.6473	18.5352	150.1151	19.4591	0.174	0.0974	0.4089	0.299	36.3688	1.1056	5.0	22.352	8.516	0.0	0.0	0.0	0.0	0.0	0.0		0.0	1.0	2.0	0.9997	0.298	2.8186	0.5976	0.2725	0.1657	0.0036	0.003	21.3372	12.7041	0.13	0.0288	0.7659	0.3553	1.0205	0.8813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T2	15	450.0	4	4	76.3682	17.0093	148.7688	31.5309	0.1679	0.1078	0.3335	0.2327	36.3771	1.1107	5.0	52.385	3.121	0.0	0.0	0.0	0.0	0.0	0.0		1.0	0.0	2.0	0.998	35.267	2.967	0.4449	0.2895	0.1886	0.0043	0.0085	25.3549	17.9411	0.1362	0.0553	0.7293	0.4237	0.9052	0.5549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T2	16	480.0	4	4	76.8535	15.4313	166.5433	17.7775	0.166	0.1158	0.2837	0.1838	36.3761	1.1294	3.0	27.957	0.0	0.0	3.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	0.4234	46.269	3.0826	0.2385	0.2223	0.0845	-0.0002	0.0004	24.0204	20.8985	0.1234	0.0383	0.767	0.3631	1.6766	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T2	17	510.0	4	4	73.4641	10.7621	172.9027	33.0904	0.1815	0.1118	0.2338	0.1364	36.3765	1.1522	6.0	28.645	10.878	1.0	4.0	2.0	2.0	1.0	0.0	0.5	0.0	0.0	2.0	0.657	35.778	3.0322	0.2837	0.2188	0.1066	-0.0026	0.0035	22.004	17.0912	0.1183	0.0494	0.7912	0.3056	1.4254	1.7725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
