group_id	task_id	window_index	window_start_s	group_hr_mean_bpm_mean	group_eda_phasic_rate_hz_mean	group_temp_mean_mean	group_et_pupil_mean_mean	tr_silence_duration_s	tr_backchannel_count	tr_laughter_count	tr_n_active_speakers	tr_ovl_count	tr_ovl_contested	tr_ovl_time_s	tr_ovl_collaboration_index	lex_word_count	lex_unique_words	lex_ttr	lex_bigram_entropy	lex_trigram_entropy	lex_agreement_count	lex_hedging_count	lex_certainty_count	lex_positive_count	lex_negative_count	lex_question_count	lex_suggestion_count	lex_sentiment_ratio	lex_social_composite
grp-07	T2	22	660.0	66.1978	0.2503	36.3176	3.0387	1.327	0.0	0.0	1.0	0.0	0.0	0.0	0.0	72.0	53.0	0.7361111111111112	6.12157810542017	6.129283016944973	1.0	4.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0138888888888888
grp-07	T2	23	690.0	64.2477	0.1834	36.3048	3.0436	2.853	1.0	1.0	3.0	0.0	0.0	0.0	0.0	84.0	59.0	0.7023809523809523	6.326846660262595	6.357552004618087	4.0	5.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0476190476190476
grp-07	T2	24	720.0	68.2797	0.2088	36.2975	3.1061	11.346	0.0	1.0	3.0	0.0	0.0	0.0	0.0	59.0	41.0	0.6949152542372882	5.776000176124752	5.832890014164736	1.0	5.0	0.0	2.0	0.0	0.0	0.0	0.6666666666666666	0.0508474576271186
grp-07	T2	25	750.0	70.2315	0.2673	36.2994	3.1616	21.53	0.0	0.0	3.0	0.0	0.0	0.0	0.0	75.0	60.0	0.8	6.155399311574901	6.162427298606055	1.0	3.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0133333333333333
grp-07	T2	26	780.0	72.5979	0.2671	36.3033	3.0266	2.088	0.0	1.0	2.0	0.0	0.0	0.0	0.0	58.0	48.0	0.8275862068965517	5.832890014164736	5.807354922057609	2.0	6.0	0.0	4.0	0.0	0.0	0.0	0.8	0.1034482758620689
grp-07	T3	0	0.0	70.1284	0.1918	36.0799	2.9847	14.622	0.0	0.0	2.0	9.0	5.0	6.263	0.5555555555555556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T3	1	30.0	79.9584	0.217	36.0757	3.1056	4.922	4.0	1.0	3.0	12.0	8.0	16.987	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T3	2	60.0	84.7966	0.2586	36.0912	3.0231	14.531	2.0	0.0	3.0	14.0	10.0	18.212	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T3	3	90.0	75.0433	0.3087	36.096	2.9515	15.439	2.0	1.0	3.0	7.0	4.0	9.322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-07	T3	4	120.0	68.7733	0.2422	36.0931	2.9165	3.785	2.0	0.0	2.0	2.0	1.0	1.516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
