session_id	task	window_index	n_participants	window_start_lsl	window_end_lsl	eda_mean_group_mean	eda_mean_group_std	ppg_rate_proxy_bpm_group_mean	ppg_rate_proxy_bpm_group_std	pupil_mean_group_mean	pupil_mean_group_std
ses-20260317_grp-09_run01	T2	2	4	761682.164899	761712.164899	0.09543879667211405	0.0003514297429802471	74.22324057917064	18.038888477275858	3.2575846758705285	0.3167129910064344
ses-20260317_grp-09_run01	T2	3	4	761697.164899	761727.164899	0.0591928459957219	0.020833252340132797	60.87755591414734	9.955679008049795	3.049814652472458	0.47495576304552184
ses-20260317_grp-09_run01	T2	4	4	761712.164899	761742.164899	0.06256420547624506	0.03224705686943395	52.40957497613809	4.2086736157860685	3.1528769044271625	0.4973304303115452
ses-20260317_grp-09_run01	T2	5	4	761727.164899	761757.164899	0.0721496338392282	0.0418065341607717	56.100527985210135	8.324159589051003	3.2855292284728965	0.4515442588451162
ses-20260317_grp-09_run01	T2	6	4	761742.164899	761772.164899	0.0754340243506493	0.045092512987013	55.788484979013276	8.299015851743125	3.3132512203545126	0.5087686712581474
ses-20260317_grp-09_run01	T2	7	4	761757.164899	761787.164899	0.08445239465153964	0.03403239141004865	51.82452733250514	5.194517028120622	3.312664634262426	0.43992280884080004
ses-20260317_grp-09_run01	T2	8	4	761772.164899	761802.164899	0.09928828977602455	0.020461547057577953	65.98171163277833	19.426325195924836	3.3128248411723615	0.40863740413825
ses-20260317_grp-09_run01	T2	9	4	761787.164899	761817.164899	0.0985344469327426	0.039591507390259	69.89294213449048	28.593809005023676	3.433210160676425	0.42474105116447847
ses-20260317_grp-09_run01	T2	10	4	761802.164899	761832.164899	0.08301040178571424	0.052902383928571446	74.58313377384889	32.439704954233285	3.4473291491823828	0.4076805428627651
ses-20260317_grp-09_run01	T2	11	4	761817.164899	761847.164899	0.07226215861513685	0.04215413768115944	60.938008484454095	10.49387938335267	3.3974673603005305	0.41234318583598883
ses-20260317_grp-09_run01	T2	12	4	761832.164899	761862.164899	0.07199003306451605	0.04188197177419355	61.7805226760774	15.936161261244514	3.495982599558032	0.42024622086851426
ses-20260317_grp-09_run01	T2	13	4	761847.164899	761877.164899	0.07987622185718495	0.049768231519020746	65.61560940430739	19.807019093504575	3.576223064629128	0.43631911410548657
ses-20260317_grp-09_run01	T2	14	4	761862.164899	761892.164899	0.08766313042368025	0.057485405060190745	62.61893722005843	17.596682213855015	3.5528583498242816	0.44130214312933125
ses-20260317_grp-09_run01	T2	15	4	761877.164899	761907.164899	0.10041572374798055	0.05806981744749595	80.47748603721608	36.26220775759003	3.5899981099658484	0.40757280556079345
ses-20260317_grp-09_run01	T2	16	4	761892.164899	761922.164899	0.10292548087576216	0.04805119493068945	80.74013159912376	26.16143363589396	3.64675384274803	0.39308896927390524
ses-20260317_grp-09_run01	T2	17	4	761907.164899	761937.164899	0.09669305510534844	0.04592265478119935	87.19123708621245	19.65207707887391	3.6533665047787167	0.44468768322119284
ses-20260317_grp-09_run01	T2	18	4	761922.164899	761952.164899	0.0963770221113628	0.0497289497429418	81.08136351860884	35.331942322164544	3.6057624318291084	0.4638274220897433
ses-20260317_grp-09_run01	T2	19	4	761937.164899	761967.164899	0.0957119539412222	0.056845417438675605	73.72276023489587	28.170761100829527	3.5375032902772574	0.43130738922810324
ses-20260317_grp-09_run01	T2	20	4	761952.164899	761982.164899	0.0899902479191011	0.05932679848089889	71.2042499451119	14.959935924955662	3.4992441862951513	0.40663603265758097
ses-20260317_grp-09_run01	T2	21	4	761967.164899	761997.164899	0.10062462062895634	0.053455635184997144	109.51614202135579	36.51189557535323	3.5409185791923927	0.3650143455863895
ses-20260317_grp-09_run01	T2	22	4	761982.164899	762012.164899	0.11830111004616631	0.0478613695302331	101.83550197243338	44.497038771374804	3.5552144939423194	0.3714153654847331
ses-20260317_grp-09_run01	T2	23	4	761997.164899	762027.164899	0.12311595653625684	0.046226679225332544	68.90456861218779	0.06189994458156889	3.5407481365539692	0.3892621758863108
ses-20260317_grp-09_run01	T2	24	4	762012.164899	762042.164899	0.11741981004229565	0.04982266866298535	53.72625244306906	3.5543509078781454	3.5697970257781355	0.4418895582211053
ses-20260317_grp-09_run01	T2	25	4	762027.164899	762057.164899	0.1145448595585403	0.0500320709970152	60.13314765587447	0.6412088313344562	3.611520121000825	0.4328360304530133
ses-20260317_grp-09_run01	T2	26	4	762042.164899	762072.164899	0.11884663308062075	0.04293882532345385	76.4264163753084	25.647209400821197	3.6392714630243557	0.40851187054079535
ses-20260317_grp-09_run01	T2	27	4	762057.164899	762087.164899	0.121257318985559	0.038295499049867704	69.05971311460743	26.90036763468384	3.626675289041916	0.4290692639129471
ses-20260317_grp-09_run01	T2	28	4	762072.164899	762102.164899	0.12023629200836164	0.03682459248530925	55.94305923740274	4.42154298153374	3.615150306808196	0.44518567830560457
ses-20260317_grp-09_run01	T2	29	4	762087.164899	762117.164899	0.13057693579324406	0.024884495609194958	58.251924520409474	2.3688319537467812	3.5635851047324825	0.4793655017612452
ses-20260317_grp-09_run01	T2	30	4	762102.164899	762132.164899	0.13312274810599606	0.022436269335864352	60.149068066273784	6.14019174486198	3.456668468379141	0.5181441951324847
ses-20260317_grp-09_run01	T2	31	4	762117.164899	762147.164899	0.1357562578864353	0.021215332018927398	56.196992436314744	4.31811228124289	3.4637407911401943	0.4228331467930254
ses-20260317_grp-09_run01	T2	32	4	762132.164899	762162.164899	0.1479392671619323	0.0091528127700405	47.94035279446307	10.99451730428816	3.534662837635561	0.3147753805784921
ses-20260317_grp-09_run01	T2	33	4	762147.164899	762177.164899	0.14928325187767938	0.0108260670591976	62.06112984965506	3.5109208205397913	3.5301734321446174	0.3469645071440385
ses-20260317_grp-09_run01	T2	34	4	762162.164899	762192.164899	0.1338381623376623	0.023565652597402592	60.066761785086	13.796528199666225	3.414642320486722	0.43253514856506986
ses-20260317_grp-09_run01	T2	35	4	762177.164899	762207.164899	0.10607120908482355	0.04844780526924335	54.39753207522347	11.376147343528952	3.363781045640904	0.43843212459145026
ses-20260317_grp-09_run01	T2	36	4	762192.164899	762222.164899	0.09716103981978165	0.06703185141398456	56.79469757132502	1.142730094653725	3.4619832572240563	0.41220502283821875
ses-20260317_grp-09_run01	T2	37	4	762207.164899	762237.164899	0.1056724779819383	0.0691396664803409	60.30311441196007	0.04327390928517971	3.4706658657307066	0.41073708068575926
ses-20260317_grp-09_run01	T2	38	4	762222.164899	762252.164899	0.10480466861172215	0.06816419620912474	78.35517169771062	18.21420125377382	3.452274330848764	0.377329314139116
