session_id	task	participant_a	participant_b	metric	window_count	corr	best_lag_corr	best_lag_windows
ses-20260312_grp-07_run01	T3	P3	P4	eda_mean	57	0.14413667766030108	0.24902138986475186	2
ses-20260312_grp-07_run01	T3	P3	P4	ppg_rate_proxy_bpm	57	-0.0820673401368227	0.15833784989812585	-2
ses-20260312_grp-07_run01	T3	P3	P4	pupil_mean	57	0.4792468978243295	0.4792468978243295	0
ses-20260312_grp-07_run01	T4	P1	P2	eda_mean	29	0.010031153655313296	0.04635466897003474	1
ses-20260312_grp-07_run01	T4	P1	P2	ppg_rate_proxy_bpm	29	0.05868673176392986	0.43302948127512164	1
ses-20260312_grp-07_run01	T4	P1	P2	pupil_mean	29	0.015841522180629484	0.09743735524036538	2
ses-20260312_grp-07_run01	T4	P1	P3	eda_mean	29	0.4149203731607095	0.5492713904765081	-1
ses-20260312_grp-07_run01	T4	P1	P3	ppg_rate_proxy_bpm	29	-0.1907050973823161	0.1642514265946977	-2
ses-20260312_grp-07_run01	T4	P1	P3	pupil_mean	29	0.43094009583540377	0.5361581491348535	-1
ses-20260312_grp-07_run01	T4	P1	P4	eda_mean	29	-0.19772119904840485	0.45122986997703224	-2
ses-20260312_grp-07_run01	T4	P1	P4	ppg_rate_proxy_bpm	29	0.39874830276450557	0.5745156693007949	-1
ses-20260312_grp-07_run01	T4	P1	P4	pupil_mean	29	0.053900353019117275	0.5409208219229804	2
ses-20260312_grp-07_run01	T4	P2	P3	eda_mean	29	-0.21300072303057427	-0.07150825762386373	2
ses-20260312_grp-07_run01	T4	P2	P3	ppg_rate_proxy_bpm	29	-0.09620527212896038	0.0807372831994817	-2
ses-20260312_grp-07_run01	T4	P2	P3	pupil_mean	29	0.19724658428076014	0.23369245402120095	-2
ses-20260312_grp-07_run01	T4	P2	P4	eda_mean	29	-0.1832525456992872	-0.06025217344400333	-2
ses-20260312_grp-07_run01	T4	P2	P4	ppg_rate_proxy_bpm	29	-0.0721445414612363	0.15878332923243535	2
ses-20260312_grp-07_run01	T4	P2	P4	pupil_mean	29	0.49876294144877764	0.5293696876058573	-1
ses-20260312_grp-07_run01	T4	P3	P4	eda_mean	29	-0.0018392418449970044	0.04100442863602169	-1
ses-20260312_grp-07_run01	T4	P3	P4	ppg_rate_proxy_bpm	29	-0.09202565599189483	0.1292987714811029	2
ses-20260312_grp-07_run01	T4	P3	P4	pupil_mean	29	0.4153445070161531	0.41735384459945346	1
ses-20260313_grp-08_run01	T0	P1	P2	eda_mean	47	-0.23366227278735974	-0.21248801663357492	-2
ses-20260313_grp-08_run01	T0	P1	P2	ppg_rate_proxy_bpm	47	0.24245077143743274	0.24245077143743274	0
ses-20260313_grp-08_run01	T0	P1	P2	pupil_mean	47	0.16726852993994976	0.25647430262190396	2
ses-20260313_grp-08_run01	T0	P1	P3	eda_mean	47	0.6626065709800029	0.7358689172876107	2
ses-20260313_grp-08_run01	T0	P1	P3	ppg_rate_proxy_bpm	47	0.08799908804015281	0.20422401280600447	-1
ses-20260313_grp-08_run01	T0	P1	P3	pupil_mean	47	0.39589210076811515	0.39589210076811515	0
ses-20260313_grp-08_run01	T0	P1	P4	eda_mean	47	-0.11914803612232809	-0.06434543706130776	-2
ses-20260313_grp-08_run01	T0	P1	P4	ppg_rate_proxy_bpm	47	0.004479911068969889	0.38451614516574945	2
ses-20260313_grp-08_run01	T0	P1	P4	pupil_mean	47	0.4790489386734384	0.4790489386734384	0
ses-20260313_grp-08_run01	T0	P2	P3	eda_mean	47	-0.09568254833944333	-0.03930258575015533	-2
ses-20260313_grp-08_run01	T0	P2	P3	ppg_rate_proxy_bpm	47	-0.10639850817048041	0.2950758984400484	2
ses-20260313_grp-08_run01	T0	P2	P3	pupil_mean	47	0.38626386354396774	0.5512559249395229	-2
ses-20260313_grp-08_run01	T0	P2	P4	eda_mean	47	-0.23564951031485037	-0.22244752756689332	2
ses-20260313_grp-08_run01	T0	P2	P4	ppg_rate_proxy_bpm	47	-0.3326177146460622	0.12928473123674744	-2
ses-20260313_grp-08_run01	T0	P2	P4	pupil_mean	47	0.5851500531964616	0.5851500531964616	0
ses-20260313_grp-08_run01	T0	P3	P4	eda_mean	47	-0.46482845486206925	-0.4093360912152908	-2
ses-20260313_grp-08_run01	T0	P3	P4	ppg_rate_proxy_bpm	47	0.06496283995683409	0.17833843817380104	2
ses-20260313_grp-08_run01	T0	P3	P4	pupil_mean	47	0.41375042008470864	0.41375042008470864	0
ses-20260313_grp-08_run01	T1	P1	P2	eda_mean	55	-0.19690564062030846	-0.1808523425869603	-2
ses-20260313_grp-08_run01	T1	P1	P2	ppg_rate_proxy_bpm	55	-0.16896396794463978	-0.0999012328074718	1
ses-20260313_grp-08_run01	T1	P1	P2	pupil_mean	53	0.7924676620008902	0.7924676620008902	0
ses-20260313_grp-08_run01	T1	P1	P3	eda_mean	55	-0.29223066842907963	-0.19319622686259638	-2
ses-20260313_grp-08_run01	T1	P1	P3	ppg_rate_proxy_bpm	55	-0.12791032656034396	-0.0676688363836289	2
ses-20260313_grp-08_run01	T1	P1	P3	pupil_mean	54	0.763351955488586	0.763351955488586	0
ses-20260313_grp-08_run01	T1	P1	P4	eda_mean	55	-0.1165509778442287	0.06436579208364089	2
ses-20260313_grp-08_run01	T1	P1	P4	ppg_rate_proxy_bpm	55	0.0466821400537246	0.0466821400537246	0
ses-20260313_grp-08_run01	T1	P1	P4	pupil_mean	51	0.6258257321741594	0.6386056641979767	1
