group_id	task_id	window_index	word_count	bert_umap1	bert_umap2	bert_umap3	bert_umap4	bert_umap5	bert_umap6	bert_umap7	bert_umap8	bert_umap9	bert_umap10	bert_valid
grp-07	T4	7	80	0.12091674	4.765894	4.8119617	2.999968	7.649947	1.9454477	1.8413341	1.4650947	5.3478603	6.22076	True
grp-07	T4	8	134	0.15221624	4.463218	4.535637	2.664646	7.7559123	1.8259015	1.7870921	1.4671724	5.124223	6.1751847	True
grp-07	T4	9	41	0.061916027	4.163917	4.2477684	2.0313623	7.762777	2.0371313	2.012291	1.2561233	5.0531387	6.1880374	True
grp-07	T4	10	67	-0.14476766	4.475367	4.3183603	2.858168	7.707512	1.8799791	1.9887187	1.8473586	5.091569	5.9326563	True
grp-07	T4	11	12	-0.055197757	4.5416203	4.460473	2.307411	7.6910734	2.311095	2.1410706	0.9735439	5.264242	6.2881055	True
grp-08	T1	0	7	-0.3039956	4.228369	3.9819322	2.815728	7.9592257	2.1307225	2.0569572	1.8911183	5.63959	5.971541	True
grp-08	T1	1	0	21.256771	3.9500425	5.4948406	6.9424205	4.3187304	5.187329	4.029362	4.42939	5.481869	4.7228694	False
grp-08	T1	2	0	21.281727	3.9108014	5.5088897	6.8035975	4.3044605	5.233777	4.080603	4.4212046	5.555526	4.699466	False
grp-08	T1	3	2	-0.20639631	4.7220345	4.497122	3.226693	7.733571	1.8877611	2.0034082	1.8869172	5.2595987	5.931058	True
grp-08	T1	4	0	21.024233	3.921387	5.4999714	6.852888	4.2723107	5.380406	3.755634	4.672455	5.3609877	4.63955	False
grp-08	T1	5	0	21.172201	3.919723	5.4625554	6.9117246	3.9790897	5.054323	3.681833	4.415332	5.6102796	4.840619	False
grp-08	T1	6	58	-1.7772219	5.221535	4.0693493	3.3622797	6.307433	3.3970268	3.842596	3.2693133	5.1955075	4.9641633	True
grp-08	T1	7	53	-1.753523	5.391311	4.178718	3.342963	6.192201	3.6247244	4.125361	3.211736	5.2111626	4.9981103	True
grp-08	T1	8	49	-1.6573082	5.127888	4.043533	3.2496285	6.3632293	3.3084476	3.92737	3.3205674	5.2458487	4.943333	True
grp-08	T1	9	133	-1.7011411	5.192805	4.208247	3.2814915	6.0675974	3.6068869	3.7834215	3.182556	5.46027	5.0552964	True
