group_id	task_id	window_index	tr_semantic_continuity	tr_cross_speaker_similarity
grp-11	T2	27		
grp-11	T2	28		
grp-11	T3	0	0.19841828383505344	0.2103254439102279
grp-11	T3	1		
grp-11	T3	2	0.2484387457370758	0.2368973990281423
grp-11	T3	3	0.4508190688987573	0.31401627412752103
grp-11	T3	4		
grp-11	T3	5		
grp-11	T3	6	0.25195841640233996	0.16634108486866195
grp-11	T3	7	0.28476475477218627	0.1807786162582136
grp-11	T3	8	0.07205316424369812	0.09093005210161209
grp-11	T3	9	0.28803882758236593	0.2396349209784107
grp-11	T3	10	0.1790569219738245	0.212234602100691
grp-11	T3	11	0.13408625995119414	0.16004127487540246
grp-11	T3	12	0.25893082256828037	0.20825947438807865
grp-11	T3	13	0.16998206973075866	0.1828541953037394
grp-11	T3	14	0.26862093806266785	0.385628557867474
grp-11	T3	15	0.15958518534898758	0.16117780858820135
grp-11	T3	16	0.3665624901652336	0.28252987475956187
grp-12	T1	3	0.17571339011192322	0.17571339011192322
grp-12	T1	4		
grp-12	T1	7	0.16709204018115997	0.16709204018115997
grp-12	T1	8	0.2483146321028471	0.2565877973102033
grp-12	T1	9	0.2935729573170344	0.24465171513812883
grp-12	T1	10		
grp-12	T1	11	0.34560389816761017	0.2565083386642592
grp-12	T1	12	0.14311552792787552	0.20168439050515494
grp-12	T1	13	0.23196977376937866	0.23196977376937866
grp-12	T1	14	0.18152591958642006	0.21247159503400326
grp-12	T1	15		
grp-12	T1	16	-0.014898876659572124	-0.014898876659572124
grp-12	T1	17	0.14123466424643993	0.18532362663083607
grp-12	T1	18	0.14193039666861296	0.2089908911058536
grp-12	T1	19		
grp-12	T1	21	0.25193436443805695	0.19463331904262304
grp-12	T2	2		
grp-12	T2	4		
grp-12	T2	5	0.1173388659954071	0.1173388659954071
grp-12	T2	6	0.30396348237991333	0.30396348237991333
grp-12	T2	7		
grp-12	T2	8	0.3658146262168884	0.24176572759946188
grp-12	T2	9		
grp-12	T2	10	0.1794901192188263	0.38772888481616974
grp-12	T2	11	0.15366914123296738	0.15013369917869568
grp-12	T2	12	0.1750969011336565	0.1750969011336565
grp-12	T2	13	0.38610750436782837	0.29237937927246094
grp-12	T2	14		
grp-12	T2	15		
grp-12	T2	16	0.26607073346773785	0.2288279374214736
grp-12	T2	17	0.18421168392524123	0.20138699707708188
grp-12	T2	18	0.08485017716884613	0.07829011157155037
grp-12	T2	19	0.33159077167510986	0.2799953058362007
grp-12	T2	20	0.18452434241771698	0.13383339097102484
grp-12	T2	21	0.5142913113037745	0.23448489902212338
grp-12	T2	22	0.13846105383709073	0.1632215246896852
grp-12	T2	23	0.3528183652088046	0.3161889831225077
grp-12	T2	24	0.2161204293370247	0.1955942064523697
grp-12	T2	25	0.1665275376290083	0.07783741777872338
grp-12	T2	26	0.20869574482951844	0.17393372168894425
grp-12	T2	27	0.25594717264175415	0.136214604601264
grp-12	T3	0		
grp-12	T3	9	0.11845157047112782	0.1348180446241583
grp-12	T3	10	0.17413324800630411	0.19479239716126426
grp-12	T3	11		
grp-12	T3	12	0.2240387037396431	0.21189620842536291
grp-12	T3	13	0.15675270110368728	0.1588937112201865
grp-12	T3	14	0.2618472993373871	0.1325459376196651
grp-12	T3	15	0.2227097786962986	0.14748240480335748
grp-12	T3	16	0.06205261871218681	0.1397633651892344
grp-12	T3	17	0.2073796357959509	0.19150758403594847
grp-12	T3	18	0.1594268443683783	0.12196307496300765
grp-12	T3	19	0.21815961102644602	0.14878299498352512
grp-12	T3	20	0.27158544063568113	0.21764543296202368
grp-12	T3	21	0.13830410409718752	0.14916602765088496
grp-12	T3	22	0.19703612178564073	0.16869542509317398
grp-12	T3	23	0.40786171704530716	0.3838657502617155
grp-13	T1	1		
grp-13	T1	3		
grp-13	T1	4	0.14921784400939941	0.14921784400939941
grp-13	T1	8		
grp-13	T1	9		
grp-13	T1	10		
grp-13	T1	11	0.6461333632469177	0.29679023921489717
grp-13	T1	12		
grp-13	T1	13		
grp-13	T1	14	0.3483971655368805	0.3325573702653249
grp-13	T1	15	0.1498613953590393	0.122639961540699
grp-13	T1	16	0.1439170703291893	0.11545709435207148
grp-13	T1	17	0.09629039093852043	0.12698361525932947
grp-13	T1	18	0.24675092659890652	0.2685392899438739
grp-13	T1	19	0.4495360031723976	0.3667689760526021
grp-13	T2	0	0.19543590396642685	0.2374354132584163
grp-13	T2	5		
grp-13	T2	6		
grp-13	T2	7		
grp-13	T2	8		
grp-13	T2	9	0.25941407680511475	0.25941407680511475
grp-13	T2	10		
grp-13	T2	11	0.3186500370502472	0.3625757396221161
grp-13	T2	12		
grp-13	T2	13	0.3265441358089447	0.08779456404348214
grp-13	T2	14		
grp-13	T2	15		
grp-13	T2	16	0.4642796218395233	0.37930321097373965
grp-13	T2	17		
grp-13	T2	18	0.1387602537870407	0.14150327444076538
grp-13	T2	19	0.165840046107769	0.16588404270655968
grp-13	T2	20	0.379049688577652	0.40929797457324135
grp-13	T2	21	0.2996521174907684	0.26302865853435115
grp-13	T2	22	0.24695305195119646	0.250692687636497
grp-13	T2	23		
grp-14	T1	7	0.39895165463288623	0.3935260474681854
grp-14	T1	8		
grp-14	T1	9	0.11557133495807648	0.3024860695004463
grp-14	T1	10		
grp-14	T1	11		
grp-14	T1	12	0.601342499256134	0.601342499256134
grp-14	T1	13		
grp-14	T1	14	0.13411329314112663	0.1524750217795372
grp-14	T1	15	0.22422445565462112	0.16798725351691246
grp-14	T1	16		
grp-14	T1	17	0.24273905903100967	0.39243801931540173
grp-14	T1	18	0.07491408288478851	0.07491408288478851
grp-14	T1	19		
grp-14	T1	20	0.14285312965512276	0.20031228640841114
grp-14	T1	21	0.13508358349402746	0.20734735329945883
grp-14	T2	6	0.398093303044637	0.3065581228584051
grp-14	T2	7	0.2649830851171698	0.24058675731679327
grp-14	T2	8	0.3212931454181671	0.27957457304000854
grp-14	T2	9	0.30877095833420753	0.24600062407553197
grp-14	T2	10		
grp-14	T2	11	0.46401552855968475	0.2121579134836793
grp-14	T2	12		
grp-14	T2	13	0.052987027913331985	0.20722710993140936
grp-14	T2	14		
grp-14	T2	15	0.3019724488258362	0.2850768168767293
grp-14	T2	16	0.35967492312192917	0.24619514601571219
grp-14	T2	17	0.15658506453037263	0.15812715621931211
grp-14	T2	18	0.2520867586135864	0.24851155281066895
grp-14	T2	19	0.15715722739696503	0.15715722739696503
grp-14	T2	20	0.18999610841274261	0.1677542676528295
grp-14	T2	21	0.382310152053833	0.26525182525316876
grp-14	T2	22	0.11227719858288765	0.11417060257757411
grp-14	T2	23	0.06692534685134888	0.07681093737483025
grp-14	T2	24	0.16647113859653473	0.16587726175785064
grp-14	T2	25	0.1672874614596367	0.1641274384138259
grp-14	T2	26	0.22021178007125855	0.25149852347870666
