group_id	task_id	window_index	group_hr_mean_bpm_mean	group_hrv_rmssd_ms_mean	group_eda_phasic_rate_hz_mean	group_temp_mean_mean	group_et_pupil_mean_mean	group_et_blink_rate_per_min_mean	group_et_gaze_dispersion_mean	tr_spk_duration_s	tr_backchannel_count	tr_overlap_count	tr_competitive_overlap	cluster
grp-10	T3	5	0.4719372984172028	-1.3645565204070362	0.024494710565644673	0.8051365999161837	2.8423	4.0034	0.0981	22.778	2.0	1.0	1.0	0
grp-10	T3	6	-0.06000618618207806	0.42199950901232774	0.024494710565644673	0.774723546676285	2.8509	6.0011	0.0959	23.053	4.0	3.0	1.0	0
grp-10	T3	7	-0.277900625728959	-0.3524570786476749	-0.6213921311916107	0.788192184539674	2.9066		0.0663	13.567	1.0	0.0	0.0	0
grp-10	T3	8	0.5054777640991889	1.083852495171117	0.6703815523229001	0.7308418555730283	2.9331	12.0103	0.0661	19.871	0.0	1.0	1.0	0
grp-10	T3	9	0.11566126165616172	0.6352912450159992	1.3162683940801556	0.7086837739268376	2.9076	10.6687	0.089	34.486	2.0	4.0	0.0	0
grp-10	T3	10	-1.3677285856214556	1.6363774140718703	0.9952587661409207	0.6743604709846935	2.9278	9.3414	0.1288	26.012	4.0	5.0	1.0	0
grp-10	T3	11	-1.890204843902721	0.36920082304784974	1.3201359799589416	0.5748663396713823	2.9512	6.6724	0.1274	15.855	1.0	1.0	1.0	0
grp-10	T3	12	-1.4122383845111623	0.17359128244376654	1.3162683940801556	0.48884084622146				11.712	1.0	4.0	1.0	0
grp-14	T1	0	-1.7839191762661752	-1.1640669129858625	0.4643837219924344	-2.4844335889612914	3.3651	21.0039	0.1034	20.487	1.0	0.0	0.0	0
grp-14	T1	1	-1.605486187639898	1.2343123781276244	-0.6169133762926633	-1.9456733416771514	3.3484	20.0171	0.0926	43.028	0.0	1.0	0.0	0
grp-14	T1	2	0.4651137689862894	-1.544346290417366	-0.49325439962708	-1.2432623708154558	3.3187	18.0154	0.0851	16.074	3.0	2.0	1.0	0
grp-14	T1	3	-1.4329843165501828	-0.3937745361912182	-0.9720734604368376	-1.0575463811373207	3.3341	15.5029	0.0881	23.263	1.0	0.0	0.0	0
grp-14	T1	4	-0.9145422110384243	-0.7652504224544019	-0.7362586677257256	-1.0924830524628897	3.3782	16.0137	0.093	45.085	0.0	0.0	0.0	0
grp-14	T1	5	-0.25270753497823806	1.0777927680353308	-0.3739091081940174	-0.9821567219610378	3.367	16.5141	0.1309	21.256	0.0	0.0	0.0	0
grp-14	T1	6	-0.9402957477103413	-0.8398049882861054	-0.6111617959826361	-0.6695654522058773	3.1666	16.003	0.1587	21.828	3.0	0.0	0.0	0
grp-14	T1	7	-2.14574856240459	-1.735320040052338	-0.49469229470458703	-0.26135802934894625	2.978	14.5124	0.0624	28.373	2.0	1.0	0.0	0
grp-14	T1	8	-0.7103244693321416	-0.06497549476334323	-1.695334684422747	0.0714597343315711	2.9633	14.5124	0.0625	19.743	3.0	0.0	0.0	0
grp-14	T1	9	-0.013761539274976588	0.23736940504861945	-1.3358609150460525	0.3031450283854343	2.9618	14.0026	0.1124	49.964	0.0	0.0	0.0	0
grp-14	T1	10	0.18054499286362594	0.3808278831545832	-0.37103331803900413	0.5109262841638875	3.0185	17.0145	0.1433	25.977	0.0	2.0	1.0	0
grp-14	T1	11	0.15449490031488083	0.6408147153412006	-0.3739091081940174	0.6378015642410435	3.0911	18.0154	0.1582	25.731	1.0	0.0	0.0	0
grp-14	T1	12	0.6160919266999001	0.8990810239562317	-0.6154754812151563	0.5146038285139405	3.1256	17.515	0.1953	20.547	3.0	0.0	0.0	0
grp-14	T1	13	2.1233293665768884	0.40612045301911875	-0.852728169003775	0.29578993968532824	3.1635	15.5132	0.2154	35.847	4.0	3.0	2.0	0
grp-14	T1	14	0.763448981075396	0.6556007377102122	-0.6154754812151563	0.12662289958249712	3.2501	14.5027	0.2261	8.734	1.0	2.0	1.0	0
grp-14	T2	0	-0.32467696382321426	-0.36114135687532084	0.22281734897129546	-0.35145786592557204	3.3303	14.5027	0.0888	0.0	0.0	0.0	0.0	0
grp-14	T2	3	0.24079266047187017	-0.5497482948965878	0.22713103420381572	0.5550568163646544	3.3979	21.504	0.1762	14.99	7.0	1.0	0.0	0
grp-14	T2	4	0.4356610879560427	2.4316439455632772	0.10922363784826009	0.7849033382435565	3.3	23.0197	0.2022	20.411	1.0	2.0	0.0	0
grp-14	T2	5	1.0815129630755962	0.5012557995434261	-0.8541660640812816	0.7940971991186238	3.0804	16.5141	0.1163	24.495	4.0	2.0	2.0	0
grp-14	T2	6	-0.07260446851929804	0.6765177628571617	0.10490995261573982	0.6856096407918635	3.0417	6.5012	0.1327	30.583	1.0	1.0	0.0	0
grp-14	T2	7	-1.3085869303228013	0.5397099380494866	0.705950095013573	0.6175750703156866	3.1585	9.5081	0.1747	29.016	2.0	1.0	1.0	0
grp-14	T2	8	-0.20992544769476984	-0.7090408300344585	0.22425524404880248	0.8547766808946946	3.1682	13.5115	0.201	23.321	6.0	0.0	0.0	0
