group_id	task_id	window_index	window_start_s	group_hr_mean_bpm_mean	group_eda_phasic_rate_hz_mean	group_temp_mean_mean	group_et_pupil_mean_mean	tr_silence_duration_s	tr_backchannel_count	tr_laughter_count	tr_n_active_speakers	tr_ovl_count	tr_ovl_contested	tr_ovl_time_s	tr_ovl_collaboration_index
grp-08	T3	3	90.0	70.0422	0.1336	35.8542	2.9236	44.626	2.0	1.0	3.0	0.0	0.0	0.0	0.0
grp-08	T3	5	150.0	63.5531	0.0834	35.7975	2.8637	182.6	0.0	0.0	1.0	1.0	1.0	0.537	1.0
grp-08	T3	6	180.0	61.4245	0.1001	35.7821	2.7704	0.0	1.0	0.0	0.0	1.0	1.0	0.567	1.0
grp-08	T3	11	330.0	67.6346	0.0751	35.9013	2.6625	35.087	0.0	0.0	1.0	5.0	2.0	6.826	0.2
grp-08	T3	12	360.0	67.0971	0.1167	35.9102	2.7103	14.43	0.0	0.0	1.0	8.0	5.0	5.704	0.375
grp-08	T3	13	390.0	67.9186	0.1169	35.9385	2.742	17.239	0.0	0.0	4.0	3.0	0.0	0.751	0.6666666666666666
grp-08	T3	14	420.0	71.9606	0.1002	35.9777	2.7256	24.467	3.0	0.0	4.0	1.0	1.0	0.832	0.0
grp-08	T3	15	450.0	70.908	0.1168	36.0161	2.7579	0.7	0.0	0.0	1.0	1.0	0.0	0.078	0.0
grp-08	T3	16	480.0	75.3881	0.192	36.0487	2.7865	1.942	0.0	2.0	1.0	0.0	0.0	0.0	0.0
grp-08	T3	17	510.0	78.2777	0.1587	36.0783	2.7504	23.896	0.0	0.0	2.0	0.0	0.0	0.0	0.0
grp-08	T3	18	540.0	74.2713	0.0836	36.0971	2.7162	7.494	0.0	0.0	3.0	0.0	0.0	0.0	0.0
grp-08	T3	19	570.0	68.7038	0.0834	36.1123	2.8006	20.066	1.0	0.0	3.0	0.0	0.0	0.0	0.0
