group_hr_mean_bpm_mean	group_eda_phasic_rate_hz_mean	group_et_pupil_mean_mean	tr_silence_duration_s	tr_backchannel_count	tr_laughter_count	tr_n_active_speakers	tr_ovl_time_s	tr_ovl_competitive_timing	tr_ovl_collaboration_index	group_id	task_id	window_index
65.2967	0.1335	3.0116	10.66	0.0	0.0	2.0	0.0	0.0	0.0	grp-08	T2	25
65.8758	0.1252	3.1065	23.336	0.0	0.0	1.0	0.0	0.0	0.0	grp-08	T2	26
64.4592	0.1169	3.0861	52.499	0.0	0.0	1.0	0.0	0.0	0.0	grp-08	T2	27
61.6913	0.0917	2.9955	2.201	0.0	0.0	1.0	0.0	0.0	0.0	grp-08	T2	28
60.7713	0.1336	2.9552	23.809	0.0	0.0	2.0	0.0	0.0	0.0	grp-08	T2	29
62.2237	0.1668	3.0076	22.516	0.0	0.0	0.0	0.0	0.0	0.0	grp-08	T2	30
60.8551	0.0751	3.0896	15.144	0.0	0.0	0.0	0.0	0.0	0.0	grp-08	T2	31
66.2001	0.0667	3.1607	31.238	0.0	0.0	0.0	0.0	0.0	0.0	grp-08	T2	32
66.6487	0.0584	3.1438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	grp-08	T2	33
59.8904	0.1417	2.7705	13.493	0.0	0.0	0.0	0.0	0.0	0.0	grp-08	T3	0
59.2352	0.0751	2.7557	4.904	0.0	0.0	0.0	0.0	0.0	0.0	grp-08	T3	1
62.853	0.1252	2.8232	12.293	1.0	1.0	4.0	0.0	0.0	0.0	grp-08	T3	2
70.0422	0.1336	2.9236	44.626	2.0	1.0	3.0	0.0	0.0	0.0	grp-08	T3	3
63.5531	0.0834	2.8637	182.6	0.0	0.0	1.0	0.0	0.0	0.0	grp-08	T3	5
61.4245	0.1001	2.7704	0.0	1.0	0.0	0.0	0.0	0.0	0.0	grp-08	T3	6
67.6346	0.0751	2.6625	35.087	0.0	0.0	1.0	0.0	0.0	0.0	grp-08	T3	11
67.0971	0.1167	2.7103	14.43	0.0	0.0	1.0	0.0	0.0	0.0	grp-08	T3	12
67.9186	0.1169	2.742	17.239	0.0	0.0	4.0	0.0	0.0	0.0	grp-08	T3	13
71.9606	0.1002	2.7256	24.467	3.0	0.0	4.0	0.0	0.0	0.0	grp-08	T3	14
70.908	0.1168	2.7579	0.7	0.0	0.0	1.0	0.0	0.0	0.0	grp-08	T3	15
75.3881	0.192	2.7865	1.942	0.0	2.0	1.0	0.0	0.0	0.0	grp-08	T3	16
78.2777	0.1587	2.7504	23.896	0.0	0.0	2.0	0.0	0.0	0.0	grp-08	T3	17
74.2713	0.0836	2.7162	7.494	0.0	0.0	3.0	0.0	0.0	0.0	grp-08	T3	18
68.7038	0.0834	2.8006	20.066	1.0	0.0	3.0	0.0	0.0	0.0	grp-08	T3	19
60.1618	0.1751	2.8762	8.471	1.0	0.0	3.0	0.0	0.0	0.0	grp-08	T3	20
57.8365	0.1753	2.8194	10.344	3.0	1.0	4.0	0.0	0.0	0.0	grp-08	T3	21
59.4143	0.0918	2.7965	4.911	1.0	0.0	4.0	0.0	0.0	0.0	grp-08	T3	22
63.4105	0.0668	2.8488	15.41	2.0	0.0	2.0	0.0	0.0	0.0	grp-08	T3	23
59.9743	0.0667	2.8626	20.084	2.0	0.0	4.0	0.0	0.0	0.0	grp-08	T3	24
61.7698	0.1084	2.8508	8.382	4.0	0.0	3.0	0.0	0.0	0.0	grp-08	T3	25
65.6817	0.1251	2.9018	13.22	2.0	0.0	3.0	0.0	0.0	0.0	grp-08	T3	26
61.0858	0.1085	2.9029	8.478	0.0	0.0	3.0	0.0	0.0	0.0	grp-08	T3	27
58.5115	0.0835	2.8906	98.574	2.0	0.0	3.0	0.0	0.0	0.0	grp-08	T3	28
57.5136	0.0417	2.8966	0.541	1.0	0.0	2.0	0.0	0.0	0.0	grp-08	T3	31
70.6138	0.2503	3.4307	6.544	1.0	0.0	0.0	0.0	0.0	0.0	grp-09	T2	0
68.7843	0.167	3.4584	1.18	0.0	0.0	0.0	0.0	0.0	0.0	grp-09	T2	1
67.0863	0.2002	3.2576	28.985	0.0	0.0	0.0	0.0	0.0	0.0	grp-09	T2	2
57.5213	0.0835	3.0498	32.046	0.0	0.0	1.0	0.0	0.0	0.0	grp-09	T2	3
51.7273	0.1168	3.1529	27.462	0.0	0.0	0.0	0.0	0.0	0.0	grp-09	T2	4
53.1787	0.1336	3.2855	2.877	0.0	0.0	2.0	0.0	0.0	0.0	grp-09	T2	5
53.3617	0.1003	3.3133	5.496	0.0	0.0	2.0	0.0	0.0	0.0	grp-09	T2	6
51.0902	0.1668	3.3127	3.276	2.0	0.0	2.0	0.0	0.0	0.0	grp-09	T2	7
57.4513	0.2168	3.3128	1.731	0.0	0.0	1.0	0.0	0.0	0.0	grp-09	T2	8
65.9997	0.1336	3.4332	0.361	0.0	0.0	1.0	0.0	0.0	0.0	grp-09	T2	9
59.3556	0.0835	3.4473	0.783	0.0	0.0	1.0	0.0	0.0	0.0	grp-09	T2	10
62.6356	0.1504	3.3975	4.216	1.0	0.0	2.0	0.0	0.0	0.0	grp-09	T2	11
64.5789	0.1168	3.496	11.421	2.0	1.0	3.0	0.0	0.0	0.0	grp-09	T2	12
61.5775	0.0667	3.5762	1.434	1.0	0.0	1.0	0.0	0.0	0.0	grp-09	T2	13
59.191	0.1169	3.5529	4.631	0.0	0.0	1.0	0.0	0.0	0.0	grp-09	T2	14
63.461	0.1836	3.59	3.104	1.0	0.0	2.0	0.0	0.0	0.0	grp-09	T2	15
77.1217	0.2004	3.6468	10.124	0.0	0.0	2.0	0.0	0.0	0.0	grp-09	T2	16
82.3448	0.1503	3.6534	6.903	1.0	1.0	3.0	0.0	0.0	0.0	grp-09	T2	17
76.3727	0.1504	3.6058	8.75	1.0	2.0	2.0	0.0	0.0	0.0	grp-09	T2	18
72.9275	0.2171	3.5375	12.666	1.0	0.0	3.0	0.0	0.0	0.0	grp-09	T2	19
68.0183	0.0834	3.3359	7.082	0.0	0.0	2.0	0.0	0.0	0.0	grp-09	T3	0
67.0031	0.0835	3.3419	152.035	0.0	0.0	0.0	0.0	0.0	0.0	grp-09	T3	1
77.3152	0.0669	3.1418	0.697	0.0	0.0	1.0	0.0	0.0	0.0	grp-09	T3	6
77.1852	0.0835	3.1607	26.534	0.0	2.0	0.0	0.0	0.0	0.0	grp-09	T3	7
75.236	0.1002	3.2133	17.751	0.0	1.0	3.0	0.0	0.0	0.0	grp-09	T3	8
84.6401	0.0835	3.1752	11.335	0.0	3.0	3.0	0.0	0.0	0.0	grp-09	T3	9
87.181	0.1003	3.161	5.698	5.0	0.0	3.0	0.0	0.0	0.0	grp-09	T3	10
79.5434	0.1502	3.2184	5.644	1.0	0.0	2.0	0.0	0.0	0.0	grp-09	T3	11
75.9872	0.2339	3.273	4.426	3.0	0.0	1.0	0.0	0.0	0.0	grp-09	T3	12
81.0762	0.2002	3.3566	7.47	4.0	4.0	3.0	0.0	0.0	0.0	grp-09	T3	13
93.6707	0.4345	3.487	9.229	4.0	2.0	4.0	0.0	0.0	0.0	grp-09	T3	14
85.5861	0.3843	3.55	0.727	1.0	0.0	2.0	0.0	0.0	0.0	grp-09	T3	15
81.5491	0.2505	3.544	0.549	0.0	2.0	2.0	0.0	0.0	0.0	grp-09	T3	16
80.8154	0.167	3.5081	3.442	0.0	1.0	4.0	0.0	0.0	0.0	grp-09	T3	17
71.3607	0.1837	3.4356	11.291	6.0	0.0	3.0	0.0	0.0	0.0	grp-09	T3	18
69.2312	0.2001	3.3892	3.378	4.0	0.0	3.0	0.0	0.0	0.0	grp-09	T3	19
74.7496	0.1836	3.3765	14.393	2.0	0.0	1.0	0.0	0.0	0.0	grp-09	T3	20
79.6655	0.2673	3.3858	9.48	3.0	0.0	2.0	0.0	0.0	0.0	grp-09	T3	21
73.0869	0.3342	3.4213	7.76	1.0	0.0	4.0	0.0	0.0	0.0	grp-09	T3	22
67.8833	0.3172	3.4557	14.009	1.0	0.0	3.0	0.0	0.0	0.0	grp-09	T3	23
71.5929	0.2843	3.466	0.0	0.0	0.0	1.0	0.0	0.0	0.0	grp-09	T3	24
66.3515	0.0751	3.4215	4.851	0.0	0.0	2.0	0.0	0.0	0.0	grp-10	T1	0
70.9842	0.025	3.4757	7.969	1.0	0.0	1.0	0.0	0.0	0.0	grp-10	T1	1
81.3396	0.0333	3.4566	6.176	2.0	0.0	2.0	0.918	1.0	0.5	grp-10	T1	2
79.5664	0.0167	3.4491	2.381	1.0	0.0	2.0	0.867	1.0	0.0	grp-10	T1	3
73.4099	0.0334	3.4683	2.018	2.0	0.0	1.0	21.929	0.0	0.0	grp-10	T1	4
72.3431	0.0501	3.4623	0.881	1.0	0.0	2.0	13.425	0.0	0.75	grp-10	T1	5
72.3514	0.0417	3.4984	4.083	2.0	0.0	2.0	0.0	0.0	0.0	grp-10	T1	6
71.6231	0.0167	3.3768	6.227	3.0	0.0	1.0	0.0	0.0	0.0	grp-10	T1	7
76.9684	0.0	3.1726	2.179	2.0	0.0	2.0	0.0	0.0	0.0	grp-10	T1	8
76.9414	0.0167	3.1231	7.296	1.0	0.0	1.0	0.0	0.0	0.0	grp-10	T1	9
75.775	0.025	3.082	8.234	2.0	0.0	4.0	0.0	0.0	0.0	grp-10	T1	10
83.7477	0.0334	3.0469	8.924	1.0	1.0	4.0	0.0	0.0	0.0	grp-10	T1	11
93.6992	0.0585	3.0455	0.787	0.0	1.0	1.0	0.0	0.0	0.0	grp-10	T1	12
80.5313	0.0167	3.1784	12.768	0.0	0.0	2.0	1.822	0.0	1.0	grp-10	T2	0
89.9003	0.0083	3.2073	8.478	1.0	0.0	1.0	0.0	0.0	0.0	grp-10	T2	1
97.8872	0.0334	3.0661	22.0	1.0	0.0	2.0	1.185	0.0	0.0	grp-10	T2	2
89.2482	0.0334	2.9889	5.108	1.0	0.0	2.0	1.898	0.0	0.6666666666666666	grp-10	T2	3
78.3761	0.0083	3.0529	4.188	0.0	0.0	1.0	9.275	0.0	0.3333333333333333	grp-10	T2	4
81.4481	0.025	3.0424	4.149	2.0	0.0	3.0	0.588	0.0	0.0	grp-10	T2	5
76.086	0.0167	3.1036	4.021	0.0	0.0	1.0	3.319	0.0	0.0	grp-10	T2	6
67.0305	0.0251	3.1795	7.678	3.0	1.0	3.0	3.4	0.0	0.5	grp-10	T2	7
