group_id	task	participant	lex_word_count	lex_unique_words	lex_ttr	lex_mean_word_len	lex_n_unigrams	lex_n_bigrams	lex_n_trigrams	lex_unique_bigrams	lex_unique_trigrams	lex_unigram_diversity	lex_bigram_diversity	lex_trigram_diversity	lex_unigram_entropy	lex_bigram_entropy	lex_trigram_entropy	lex_hapax_count	lex_hapax_ratio	lex_agreement_count	lex_hedging_count	lex_certainty_count	lex_question_count	lex_suggestion_count	lex_positive_count	lex_negative_count	lex_agreement_rate	lex_question_rate_per_min	lex_suggestion_rate_per_min	lex_sentiment_ratio	lex_speaking_time_s
grp-15	T1	P2	230	113	0.4913	4.17	230	229	228	210	222	0.4913	0.917	0.9737	6.34	7.661	7.78	71	0.3087	7	21	6	3	0	11	0	0.0304	1.69	0.0	1.0	106.216
grp-15	T1	P3	402	145	0.3607	3.82	402	401	400	330	383	0.3607	0.8229	0.9575	6.457	8.247	8.557	77	0.1915	30	30	6	7	0	22	0	0.0746	2.86	0.0	1.0	147.047
grp-15	T1	P4	109	68	0.6239	4.06	109	108	107	102	107	0.6239	0.9444	1.0	5.871	6.644	6.741	43	0.3945	6	6	1	1	0	7	0	0.055	1.79	0.0	1.0	33.482
grp-15	T2	P1	308	130	0.4221	3.97	308	307	306	268	293	0.4221	0.873	0.9575	6.62	7.982	8.167	63	0.2045	16	22	5	4	1	5	0	0.0519	1.84	0.46	1.0	130.577
grp-15	T2	P2	362	141	0.3895	4.01	362	361	360	324	357	0.3895	0.8975	0.9917	6.599	8.273	8.475	74	0.2044	11	28	1	8	2	11	1	0.0304	3.56	0.89	0.833	134.923
grp-15	T2	P3	531	190	0.3578	3.72	531	530	529	446	514	0.3578	0.8415	0.9716	6.799	8.674	8.989	105	0.1977	31	25	1	3	0	12	0	0.0584	0.93	0.0	1.0	194.496
grp-15	T2	P4	363	152	0.4187	4.06	363	362	361	305	344	0.4187	0.8425	0.9529	6.72	8.127	8.394	84	0.2314	13	26	7	2	3	14	1	0.0358	0.91	1.36	0.867	131.909
grp-15	T3	P1	162	93	0.5741	3.96	162	161	160	147	159	0.5741	0.913	0.9938	6.196	7.135	7.309	62	0.3827	16	15	0	2	0	5	0	0.0988	1.99	0.0	1.0	60.428
grp-15	T3	P2	276	129	0.4674	3.79	276	275	274	246	268	0.4674	0.8945	0.9781	6.509	7.869	8.051	80	0.2899	8	27	3	4	1	14	1	0.029	2.78	0.69	0.867	86.333
grp-15	T3	P3	307	139	0.4528	3.8	307	306	305	272	301	0.4528	0.8889	0.9869	6.539	8.007	8.226	87	0.2834	11	16	6	5	0	6	1	0.0358	3.62	0.0	0.714	82.814
grp-15	T3	P4	175	101	0.5771	3.81	175	174	173	165	173	0.5771	0.9483	1.0	6.261	7.335	7.435	70	0.4	5	17	3	4	0	9	1	0.0286	4.93	0.0	0.8	48.668
grp-15	T4	P1	153	87	0.5686	4.22	153	152	151	143	150	0.5686	0.9408	0.9934	6.179	7.13	7.225	51	0.3333	12	10	0	5	0	2	1	0.0784	6.05	0.0	0.333	49.609
grp-15	T4	P2	63	49	0.7778	3.94	63	62	61	62	61	0.7778	1.0	1.0	5.497	5.954	5.931	38	0.6032	2	11	1	1	0	2	0	0.0317	4.16	0.0	1.0	14.427
grp-15	T4	P3	204	87	0.4265	3.37	204	203	202	169	191	0.4265	0.8325	0.9455	5.865	7.223	7.536	43	0.2108	13	18	0	2	2	9	3	0.0637	2.07	2.07	0.5	58.032
grp-15	T4	P4	53	34	0.6415	3.64	53	52	51	48	50	0.6415	0.9231	0.9804	4.93	5.547	5.633	20	0.3774	2	6	0	0	0	4	0	0.0377	0.0	0.0	1.0	36.949
grp-16	T1	P1	196	107	0.5459	3.93	196	195	194	173	186	0.5459	0.8872	0.9588	6.289	7.334	7.51	72	0.3673	6	11	0	4	0	3	0	0.0306	2.95	0.0	1.0	81.426
grp-16	T1	P2	159	78	0.4906	3.94	159	158	157	145	151	0.4906	0.9177	0.9618	5.933	7.139	7.218	42	0.2642	9	5	4	0	0	5	0	0.0566	0.0	0.0	1.0	64.393
grp-16	T1	P3	228	113	0.4956	4.25	228	227	226	202	223	0.4956	0.8899	0.9867	6.346	7.584	7.794	72	0.3158	7	5	0	4	1	4	0	0.0307	2.18	0.54	1.0	110.244
grp-16	T1	P4	283	131	0.4629	4.33	283	282	281	259	275	0.4629	0.9184	0.9786	6.519	7.966	8.089	79	0.2792	10	14	4	1	0	5	2	0.0353	0.46	0.0	0.429	129.864
grp-16	T2	P1	216	95	0.4398	3.94	216	215	214	186	205	0.4398	0.8651	0.9579	6.126	7.452	7.657	52	0.2407	9	12	0	5	1	5	0	0.0417	3.47	0.69	1.0	86.34
grp-16	T2	P2	367	130	0.3542	3.84	367	366	365	305	340	0.3542	0.8333	0.9315	6.354	8.117	8.365	63	0.1717	9	24	2	7	1	15	0	0.0245	3.41	0.49	1.0	123.204
grp-16	T2	P3	250	119	0.476	3.93	250	249	248	221	240	0.476	0.8876	0.9677	6.423	7.723	7.89	73	0.292	13	16	0	8	4	8	1	0.052	5.06	2.53	0.778	94.786
grp-16	T2	P4	354	156	0.4407	3.98	354	353	352	305	335	0.4407	0.864	0.9517	6.721	8.152	8.363	92	0.2599	7	18	5	1	2	5	0	0.0198	0.39	0.77	1.0	155.339
grp-16	T3	P1	178	103	0.5787	4.33	178	177	176	168	175	0.5787	0.9492	0.9943	6.388	7.366	7.448	65	0.3652	7	8	2	0	0	1	0	0.0393	0.0	0.0	1.0	88.93
grp-16	T3	P2	346	122	0.3526	3.85	346	345	344	303	336	0.3526	0.8783	0.9767	6.439	8.158	8.378	49	0.1416	9	30	6	5	0	18	0	0.026	2.5	0.0	1.0	120.116
grp-16	T3	P3	257	126	0.4903	4.15	257	256	255	232	249	0.4903	0.9062	0.9765	6.405	7.782	7.947	85	0.3307	15	16	1	1	5	4	0	0.0584	0.31	1.55	1.0	193.155
grp-16	T3	P4	475	160	0.3368	3.8	475	474	473	378	453	0.3368	0.7975	0.9577	6.594	8.366	8.795	85	0.1789	15	43	10	2	2	21	0	0.0316	0.6	0.6	1.0	201.05
grp-16	T4	P1	383	144	0.376	3.78	383	382	381	322	363	0.376	0.8429	0.9528	6.602	8.227	8.479	74	0.1932	13	17	2	5	2	7	0	0.0339	2.03	0.81	1.0	147.497
grp-16	T4	P2	259	118	0.4556	4.02	259	258	257	229	247	0.4556	0.8876	0.9611	6.399	7.753	7.925	67	0.2587	9	13	5	4	1	5	0	0.0347	3.12	0.78	1.0	77.001
grp-16	T4	P3	232	114	0.4914	3.87	232	231	230	209	223	0.4914	0.9048	0.9696	6.385	7.651	7.785	66	0.2845	14	12	0	7	4	7	1	0.0603	5.76	3.29	0.75	72.923
grp-16	T4	P4	218	114	0.5229	3.69	218	217	216	204	211	0.5229	0.9401	0.9769	6.407	7.642	7.709	74	0.3394	8	10	3	1	2	5	0	0.0367	0.41	0.82	1.0	145.589
