group_id	task	participant	audio_energy_mean	audio_pitch_mean	audio_pitch_sd	audio_hnr_mean	n_windows
grp-10	T3	P4	0.2433481161984113	21.641817973210262	0.2256779140577866	0.8324788808822633	13
grp-11	T1	P1	0.1733685787767171	29.68114995956421	0.2205363595858216	4.494293704628944	16
grp-11	T1	P2	0.1606709160842001	29.734538674354557	0.1877219062298536	6.128339916467667	16
grp-11	T1	P3	0.2203876748681068	28.817583322525024	0.2154515506699681	5.028739057481289	16
grp-11	T1	P4	0.3078473736532032	28.57127618789673	0.230756620876491	4.358192149549723	16
grp-11	T2	P1	0.2123955800556219	30.87257223862868	0.2167587738770704	4.975466508131761	26
grp-11	T2	P2	0.1979328365280077	30.71167094890888	0.1765520283235953	6.051723338090456	26
grp-11	T2	P3	0.2123962678015231	30.12210457141583	0.208355706041822	4.9531937929300165	26
grp-11	T2	P4	0.3054060544818639	29.90862259498009	0.2267740529317121	4.7095787932093325	26
grp-11	T3	P1	0.2292430440292638	32.271115246941065	0.2101678743081934	5.542727337164037	17
grp-11	T3	P2	0.182397887987249	32.736706004423255	0.1902949564597185	6.637913058785832	17
grp-11	T3	P3	0.2160422142375917	31.365144954008212	0.2260804667192346	5.356451567481546	17
grp-11	T3	P4	0.3208796671208213	31.42101141985725	0.2339339335175121	5.319464090992423	17
grp-12	T1	P1	0.1269629052595088	28.408156394958496	0.212264466050424	4.074692556732579	19
grp-12	T1	P2	0.1014834497320024	28.71536646391216	0.1873651727249747	6.2705200847826505	19
grp-12	T1	P3	0.1195817840726751	28.142112932707136	0.205371217508065	5.112050144295943	19
grp-12	T1	P4	0.2310542844628032	27.380081277144583	0.2246109670714327	3.823755879151194	19
grp-12	T2	P1	0.1779384950974157	27.919886384691512	0.2272774880485875	3.4269381311855147	28
grp-12	T2	P2	0.1197102712467312	29.424264907836918	0.1987992389393704	5.985590662275042	28
grp-12	T2	P3	0.1679920602057661	26.94685125350952	0.2086194881371089	4.184168892247336	28
grp-12	T2	P4	0.282466474654419	27.085754667009628	0.2282811727906976	3.5604026493217265	28
grp-13	T1	P1	0.148159935656521	25.44039397769504	0.193219643500116	2.960063894589742	18
grp-13	T1	P2	0.1246068336897425	26.715881665547688	0.1573214754462241	5.167581187354194	18
grp-13	T1	P3	0.1650888762540287	26.001157972547745	0.199055306199524	3.9117000102996826	18
grp-13	T1	P4	0.1687954614559809	25.215532514784076	0.2029994593726263	3.257512781355116	18
grp-13	T2	P1	0.1960833897085293	28.000902673472527	0.1926369362551232	4.520762516104656	23
grp-13	T2	P2	0.1543500572443008	28.764941174051035	0.1760119899459507	5.666652513586956	23
grp-13	T2	P3	0.268202073548151	28.303202172984246	0.1962341763403104	5.015604905460192	23
grp-13	T2	P4	0.1559951985659806	27.616405901701555	0.2081590683563895	4.281410751135453	23
grp-14	T1	P1	0.1072052789231141	28.37525405883789	0.2187168894956509	3.871719776590665	15
grp-14	T1	P2	0.1269554965198039	29.086213684082036	0.2090903068582216	5.760588666796684	15
grp-14	T1	P3	0.1222298507889111	28.38085479736328	0.2175767925878365	4.168383828798929	15
grp-14	T1	P4	0.1491070002317428	28.02576249440511	0.2345042801151672	3.949758662780126	15
grp-14	T2	P1	0.1361308802405129	25.594743231068488	0.2654159930876314	2.2871978211662043	23
grp-14	T2	P2	0.1700736104470231	26.853198549021844	0.2461117013641025	4.763522530379503	23
grp-14	T2	P3	0.1836274102654145	26.14515097244926	0.2702984868184379	2.7618184893027595	23
grp-14	T2	P4	0.1845866519471873	25.62798483475395	0.2854708901242069	2.637241327406272	23
grp-14	T3	P1	0.1045812528866987	23.906634184030388	0.1887228663724202	1.491836971961535	13
grp-14	T3	P2	0.0887921032710716	24.337209114661583	0.1552187445072027	5.189947987978275	13
grp-14	T3	P3	0.11276007644259	23.874979606041546	0.1809069514274597	1.8647910346491976	13
grp-14	T3	P4	0.1142541714585743	23.543799547048717	0.2143483861134602	1.352593545730297	13
grp-15	T1	P1	0.2785014264285564	22.94475943247477	0.1932444415986537	1.3315259019533794	15
grp-15	T1	P2	0.1173127030332882	24.168755340576173	0.1806910168379545	3.297668520609538	15
grp-15	T1	P3	0.278043333441019	22.91908899943034	0.1897937729954719	2.326231511433919	15
grp-15	T1	P4	0.1948122203350067	23.16533546447754	0.2034878561894098	2.1192708651224774	15
grp-15	T2	P1	0.2681623629548332	25.936957706104625	0.2464646893468769	2.399847235699946	22
grp-15	T2	P2	0.138397518037395	27.340171207081188	0.2171269479123028	4.384597507390109	22
grp-15	T2	P3	0.2383331261913884	26.120953993363813	0.2357788106257265	3.428886589678851	22
grp-15	T2	P4	0.2993165076794949	25.979189265858043	0.2424928207289088	3.103933036327362	22
grp-15	T3	P1	0.1325636483155763	19.599134151752175	0.1873653596983505	-0.7510250738033881	13
grp-15	T3	P2	0.0792327978863165	19.21786403656006	0.1277241139457775	4.708770055037278	13
grp-15	T3	P3	0.0932475669452776	20.138989595266487	0.1747795340533439	0.7008551680124723	13
grp-15	T3	P4	0.1183609844973453	19.381452560424805	0.1734182854684499	-0.3213735956412095	13
grp-16	T1	P1	0.1641549356281756	25.963130060831705	0.1893117773036161	3.883301512400309	15
grp-16	T1	P2	0.0808509469032287	25.698097229003903	0.1439566834131255	5.181758716702461	15
grp-16	T1	P3	0.1728367492556571	25.74446334838867	0.1644608605653047	3.965906016031901	15
grp-16	T1	P4	0.2243241749703884	25.71195214589437	0.1832241684198378	4.058413497606913	15
grp-16	T2	P1	0.1457427702844142	26.32790256949032	0.1905998565694864	3.205495231291827	17
grp-16	T2	P2	0.1122615618959945	26.515121796551878	0.1496600478011018	6.011663647258983	17
grp-16	T2	P3	0.1448089151698	26.77471312354593	0.1941813679740709	4.093655367107952	17
grp-16	T2	P4	0.2315791593316723	26.496625619776108	0.1968120595111566	3.6832818879800686	17
grp-16	T3	P1	0.1969511090289978	24.83630539122082	0.1967674179800918	2.1942140076841627	21
grp-16	T3	P2	0.1377011951768681	24.474694842383972	0.1713411580948602	5.1669712861378985	21
grp-16	T3	P3	0.212139640535627	26.050548689705984	0.2380413758967603	2.940424464997791	21
grp-16	T3	P4	0.3727813545791876	24.882763272240048	0.2194137527119545	2.1576431620688665	21
