group_id	task_id	group_et_pupil_mean_mean	group_et_pupil_mean_std	group_et_pupil_std_mean	group_et_pupil_std_std	group_et_pupil_slope_per_s_mean	group_et_pupil_slope_per_s_std	group_et_blink_rate_per_min_mean	group_et_blink_rate_per_min_std	group_et_gaze_dispersion_mean	group_et_gaze_dispersion_std	group_et_gaze_valid_frac_mean	group_et_gaze_valid_frac_std	group_et_gaze_velocity_mean_mean	group_et_gaze_velocity_mean_std	n_windows
grp-10	T3	2.9450000000000003	0.270125	0.26285	0.07716666666666666	-0.00021666666666666668	0.0032916666666666667	7.731963636363636	4.880933333333333	0.1163	0.06376666666666667	1.0	0.0	0.5565916666666667	0.17986666666666665	52
grp-11	T1	2.8332103448275863	0.19480000000000003	0.2696586206896552	0.11182413793103449	-0.0003793103448275862	0.0028	23.278893103448276	14.955533333333333	0.18065172413793104	0.06350689655172413	0.7600310344827587	0.2987310344827586	1.3474689655172414	1.3952034482758622	29
grp-11	T2	3.0215946428571425	0.1995910714285714	0.2835196428571429	0.12837142857142858	0.00025178571428571426	0.0034000000000000002	22.788989285714283	14.077975471698114	0.16014285714285714	0.048232142857142855	0.7693410714285714	0.3103410714285714	1.4528285714285716	1.7025982142857143	56
grp-11	T3	2.9196846153846154	0.2147974358974359	0.2685769230769231	0.1169846153846154	-0.0037102564102564103	0.010202564102564104	21.706697435897436	13.656482051282051	0.1565923076923077	0.05612307692307693	0.7416	0.34282564102564106	1.3850282051282052	1.5644923076923076	39
grp-12	T1	2.696964	0.583342	0.20504999999999998	0.081884	1.6e-05	0.0017679999999999998	25.03332	13.748288	0.140868	0.050682	0.91886	0.049474	0.586438	0.21881799999999998	50
grp-12	T2	2.8648491228070174	0.6590192982456141	0.26746315789473685	0.12379473684210526	-3.8596491228070164e-05	0.0020228070175438598	24.267247368421053	11.456857894736842	0.13371052631578947	0.04180877192982456	0.9011964912280702	0.053475438596491225	0.7616526315789474	0.3165736842105263	59
grp-12	T3	2.7200499999999996	0.5018595238095238	0.26135714285714284	0.13995714285714284	0.0001761904761904762	0.0020785714285714288	25.286550000000002	11.296078571428572	0.12820714285714285	0.035340476190476186	0.8819142857142857	0.08145714285714285	0.7982047619047619	0.3743333333333333	46
grp-13	T1	2.834373076923077	0.2953807692307692	0.19416346153846156	0.06484038461538462	-3.0769230769230795e-05	0.0017961538461538462	14.095761538461538	6.534923529411764	0.13738461538461538	0.035075	0.9621692307692308	0.027253846153846153	0.46454230769230775	0.16292692307692308	52
grp-13	T2	2.9628583333333336	0.31112833333333334	0.21223	0.06978666666666666	6.666666666666667e-05	0.0023283333333333333	14.49025	8.270546666666666	0.155945	0.04151166666666666	0.8964300000000001	0.09545166666666667	0.554045	0.18697166666666665	60
grp-14	T1	3.1924732142857146	0.3618625	0.24119821428571428	0.10206785714285714	1.25e-05	0.0021874999999999998	17.99116964285714	9.704228301886793	0.15674464285714285	0.03702142857142857	0.9426964285714285	0.035305357142857145	0.5944928571428572	0.1924625	56
grp-14	T2	3.3265725806451614	0.3955967741935484	0.23174193548387098	0.06179193548387097	-2.7419354838709644e-05	0.0018887096774193547	18.72742258064516	10.300282258064515	0.14903064516129033	0.04548709677419355	0.9350322580645162	0.03568548387096774	0.6629951612903225	0.26555645161290325	62
grp-14	T3	3.2249603773584905	0.3695811320754717	0.22035849056603773	0.08713962264150944	7.547169811320742e-06	0.0018433962264150943	17.360750943396226	9.933916981132077	0.14374150943396224	0.03627169811320755	0.9457169811320755	0.033416981132075474	0.6207150943396227	0.22823962264150943	53
grp-15	T1	2.9512881355932206	0.2548491525423729	0.20493898305084746	0.06517796610169492	0.000276271186440678	0.0028101694915254236	18.11963559322034	11.187551724137931	0.15165254237288137	0.03856440677966102	0.9152898305084746	0.08204745762711864	0.6121322033898305	0.26046610169491524	59
grp-15	T2	3.063364705882353	0.3047941176470588	0.2283941176470588	0.07582794117647058	2.941176470588234e-05	0.0016220588235294118	21.087426470588234	14.137432352941177	0.13695294117647058	0.03954117647058824	0.9108205882352941	0.06667941176470589	0.7032779411764706	0.34342794117647063	68
grp-15	T3	2.960984210526316	0.2867508771929824	0.20538245614035086	0.07529649122807018	9.473684210526316e-05	0.0017280701754385965	19.513026315789475	11.637135087719297	0.1313561403508772	0.033743859649122805	0.9291298245614035	0.05121754385964912	0.6344719298245615	0.28467543859649125	57
grp-16	T1	2.9474473684210527	0.12609473684210526	0.19437894736842107	0.05053684210526316	8.421052631578949e-05	0.0018105263157894736	17.12763684210526	13.449515384615385	0.13144736842105265	0.04796842105263158	1.0	0.0	0.5674842105263158	0.2536421052631579	39
grp-16	T2	2.803156	0.19246	0.187424	0.055411999999999996	5.199999999999998e-05	0.001976	12.899109090909091	7.1342	0.151632	0.070348	1.0	0.0	0.574388	0.256464	43
grp-16	T3	2.9160454545454546	0.1456818181818182	0.2029181818181818	0.044445454545454545	0.0002	0.0018999999999999998	24.416209090909092	16.53336	0.2131090909090909	0.11883636363636363	1.0	0.0	0.9069272727272728	0.9010727272727274	63
