group_id	task_id	window_index	da_n_utterances	da_n_speakers	da_statement	da_proposal	da_agreement	da_disagreement	da_compromise	da_question	da_answer	da_backchannel	da_hedge	da_decision	da_offtask	da_dominant
grp-07	T3	22	8	2	0.13270119251683354	0.09776163776405156	0.05744043953018263	0.04991939204046503	0.0414551617577672	0.0216429822758073	0.007818894897354767	0.061678242636844516	0.4345281533896923	0.05716008716262877	0.03789382067043334	hedge
grp-07	T4	5	1	1	0.023078782483935356	0.0021890001371502876	0.05258337780833244	0.002692516427487135	0.17994022369384766	0.24982225894927979	0.01634933240711689	0.006193399429321289	0.3179711401462555	0.14830416440963745	0.0008758410695008934	hedge
grp-07	T4	6	10	2	0.16763341650366784	0.03647547347936779	0.07860501538962125	0.06107104355469346	0.051476210542023185	0.02634552218951285	0.011823565047234297	0.06550267422571779	0.38225626200437546	0.06992309577763081	0.048887744755484165	hedge
grp-07	T4	7	9	3	0.06278089185555775	0.023305692037360534	0.02596351799244682	0.04944862715072102	0.033442585004700556	0.013245464613040289	0.005788820588754283	0.05559912365343836	0.6750403642654419	0.037442253385153085	0.0179426535550091	hedge
grp-07	T4	8	9	3	0.16136184417539173	0.021998553381611902	0.03468069423817926	0.05022642513116201	0.02668783472230037	0.01284550545581927	0.004743337450135086	0.050396206167836986	0.5787981649239858	0.03814741958760553	0.020114034750602312	hedge
grp-07	T4	9	8	4	0.11267807986587286	0.05464966967701912	0.059039513347670436	0.07384325563907623	0.052047014934942126	0.028069685446098447	0.008364830981008708	0.05906490422785282	0.4285978879779577	0.06920464243739843	0.05444052431266755	hedge
grp-07	T4	10	10	3	0.1391094673424959	0.06642363285645843	0.06002257177606225	0.08840123545378446	0.057305979332886635	0.026490244478918613	0.013209167029708624	0.061227746307849884	0.38236458152532576	0.05184733290225267	0.05359803643077612	hedge
grp-07	T4	11	1	1	0.10920406132936478	0.011971453204751015	0.027970707044005394	0.032162658870220184	0.020403938367962837	0.012112569063901901	0.08619792014360428	0.05000947415828705	0.6200440526008606	0.02430136874318123	0.005621876567602158	hedge
grp-08	T1	0	2	2	0.0652216374874115	0.021583066321909428	0.023651921190321445	0.05115559697151184	0.03346230462193489	0.028591842390596867	0.006885616923682392	0.0404707258567214	0.660893976688385	0.03971457853913307	0.02836873009800911	hedge
grp-08	T1	3	2	2	0.09722045436501503	0.06238647922873497	0.05772069841623306	0.06298938021063805	0.046273414976894855	0.027528791688382626	0.011361952871084213	0.09320203587412834	0.41122859716415405	0.060609953477978706	0.0694782454520464	hedge
grp-08	T1	6	1	1	0.011846120469272137	0.3190850019454956	0.06655806303024292	0.004357944242656231	0.03713569417595863	0.015480460599064827	0.0034744562581181526	0.0029030167497694492	0.4993021786212921	0.03724464774131775	0.0026124322321265936	hedge
grp-08	T1	7	1	1	0.04182012006640434	0.5473864078521729	0.042728323489427567	0.030180789530277252	0.036121681332588196	0.027053887024521828	0.021276352927088737	0.018305575475096703	0.1894489973783493	0.03212728723883629	0.013550514355301857	proposal
grp-08	T1	8	3	1	0.18285134434700012	0.053460213666160904	0.06753055130441983	0.024771337397396564	0.06403130448112886	0.01759220737343033	0.006606064736843109	0.03795888150731722	0.410955215493838	0.10364751952389877	0.03059539571404457	hedge
grp-08	T1	9	4	2	0.05272441520355642	0.3030560889746994	0.030619603116065264	0.028571390081197023	0.04359824303537607	0.05227715405635536	0.006267643359024078	0.03978190338239074	0.3802768625319004	0.04236397426575422	0.02046271285507828	hedge
grp-08	T1	10	2	1	0.0855823028832674	0.1206431295722723	0.2728630118072033	0.04478932544589043	0.03995306044816971	0.021233354229480028	0.00673630042001605	0.04123673029243946	0.2391648069024086	0.09119320660829544	0.03660477604717016	agreement
grp-08	T1	11	3	2	0.09773152321577072	0.023181917145848274	0.019460107820729416	0.053783285121122994	0.021961831177274387	0.013766881078481674	0.021552288516735036	0.04169495590031147	0.6435850461324056	0.03622014323870341	0.027062008778254192	hedge
grp-08	T1	12	9	2	0.18078986555337906	0.12056639697402716	0.04056656350278192	0.0824767569752617	0.02246901982774337	0.014262339824603664	0.005034286735786332	0.04103465569722983	0.4134042114019394	0.040712470499177776	0.03868342696740809	hedge
grp-08	T1	13	3	1	0.061939217150211334	0.051785918263097606	0.034955150758226715	0.04067056563993295	0.01821128837764263	0.020973861838380497	0.032371932097400226	0.04230936182041963	0.5962788860003153	0.05637520489593347	0.04412859181563059	hedge
grp-08	T1	14	8	3	0.05333924712613225	0.032478174776770175	0.028392982087098062	0.03997878963127732	0.029780011158436537	0.014866602548863739	0.004737148730782792	0.04695985349826515	0.6884480006992817	0.03245769883506	0.028561495360918343	hedge
grp-08	T1	15	9	2	0.12256123084161016	0.0299050301934282	0.043451095206869975	0.057567626962231264	0.0376224782731798	0.02072624137832059	0.004709589256284137	0.0604055720484919	0.5318205083409945	0.04612719267606735	0.04510344627002875	hedge
grp-08	T1	16	3	2	0.06454410528143247	0.03466643579304218	0.0476016029715538	0.034007020915548004	0.031173184514045715	0.01943887568389376	0.008589341693247357	0.06328747235238552	0.6181921362876892	0.04311836572984854	0.035381493934740625	hedge
grp-08	T1	17	9	4	0.15365349998076758	0.04146096482872963	0.057140969360868134	0.06832445081737307	0.037864570402436785	0.025805877935555246	0.011010900346769227	0.07665909661187066	0.40501850015587276	0.058237924344009824	0.06482325121760368	hedge
grp-08	T1	18	3	2	0.054040323942899704	0.02971528222163518	0.03432170612116655	0.05569745103518168	0.030275621140996616	0.01850863608221213	0.011577519122511148	0.04967674364646276	0.637036124865214	0.049661235262950264	0.02948937254647414	hedge
grp-08	T1	19	7	4	0.09722083328025681	0.03718206419476441	0.03889139089733362	0.056245800107717514	0.039679725388331075	0.019961174710520675	0.01566580556599157	0.06341989365007196	0.5440558109964643	0.04341223915772779	0.04426525666245392	hedge
grp-08	T1	23	3	2	0.25503075619538623	0.02271648372213046	0.03146220619479815	0.05253725747267405	0.026255952815214794	0.017474365110198658	0.008264305458093682	0.047893683115641274	0.4693300475676854	0.04204554110765457	0.026989443227648735	hedge
grp-08	T1	24	3	2	0.12588738650083542	0.028971577063202858	0.05460169663031896	0.10560324043035507	0.03629672216872374	0.020762535743415356	0.006800879413882892	0.10703093061844508	0.37142059703667957	0.10313025489449501	0.03949423134326935	hedge
grp-08	T1	25	6	3	0.08348338305950165	0.023533456415558856	0.031209973463167746	0.17649734734247127	0.024158685157696407	0.019449003661672275	0.005168763474406053	0.03805569373071194	0.5171924332777659	0.04384015779942274	0.03741111389050881	hedge
grp-08	T1	26	6	3	0.10871936908612649	0.02596499553571145	0.04641186119988561	0.0585724962875247	0.02172706959148248	0.016106944531202316	0.019092887523584068	0.04864736863722404	0.5763819515705109	0.04288686175520221	0.03548820549622178	hedge
grp-08	T1	27	8	3	0.0699801598675549	0.02519264444708824	0.03397311712615192	0.06325992289930582	0.02539852191694081	0.014534446760080755	0.004995154245989397	0.056110121542587876	0.6364474222064018	0.039905017940327525	0.030203451577108353	hedge
grp-08	T1	28	1	1	0.10829105973243713	0.061581987887620926	0.044878698885440826	0.09353524446487427	0.06523437798023224	0.04833626002073288	0.01283287350088358	0.09716631472110748	0.31241005659103394	0.07961522787809372	0.07611790299415588	hedge
grp-08	T2	0	2	1	0.0515124574303627	0.02911756094545126	0.023562468588352203	0.046208882704377174	0.03815581649541855	0.01405180711299181	0.004106953158043325	0.05968774389475584	0.6641624867916107	0.03570645209401846	0.03372735437005758	hedge
grp-08	T2	2	1	1	0.05883921682834625	0.018156474456191063	0.02878817543387413	0.04515766724944115	0.019555293023586273	0.010528706014156342	0.004270631819963455	0.06812150776386261	0.6873312592506409	0.03202157840132713	0.027229493483901024	hedge
grp-08	T2	3	2	1	0.03560553723946214	0.010516988579183817	0.017887979745864868	0.023046351969242096	0.023239364847540855	0.0117522026412189	0.01227516122162342	0.05230864696204662	0.7781473994255066	0.01960301771759987	0.01561732217669487	hedge
grp-08	T2	4	3	1	0.03918378738065561	0.14487757223347822	0.019420310234030087	0.026622215596338112	0.013821910135447979	0.1036571857209007	0.0253322278149426	0.040050588392963014	0.43742825587590534	0.12820737125972906	0.021398553003867466	hedge
grp-08	T2	5	2	1	0.26063478738069534	0.21239600703120232	0.02800076548010111	0.028100904542952776	0.047404381446540356	0.0126273725181818	0.020269630011171103	0.0649188719689846	0.25671767443418503	0.04757483769208193	0.02135474793612957	proposal
grp-08	T2	6	5	2	0.2200191929936409	0.17197819706052542	0.08090478461235762	0.023997439444065093	0.03892297958955169	0.014294680580496788	0.013526331353932618	0.06553040221333503	0.2903394475579262	0.05269040949642658	0.02779613547027111	hedge
grp-08	T2	7	6	1	0.06463177362456918	0.12927910002569357	0.03992183165003856	0.030362160798783105	0.07505792922650774	0.02613452379591763	0.008550190260090554	0.042428305450206004	0.51713860531648	0.04149701748974621	0.024998541494521003	hedge
