group_id	task_id	window_index	hmm_state_exp
grp-15	T3	12	1
grp-15	T3	13	1
grp-15	T3	14	1
grp-15	T3	15	2
grp-15	T3	16	0
grp-15	T3	17	0
grp-15	T3	18	0
grp-15	T3	19	0
grp-15	T3	20	0
grp-15	T3	21	0
grp-15	T3	22	0
grp-15	T3	23	0
grp-15	T3	24	3
grp-15	T3	25	3
grp-15	T3	26	3
grp-16	T1	6	2
grp-16	T1	7	2
grp-16	T1	8	2
grp-16	T1	9	2
grp-16	T1	10	2
grp-16	T1	11	2
grp-16	T1	12	2
grp-16	T1	13	2
grp-16	T1	14	2
grp-16	T1	15	2
grp-16	T1	16	0
grp-16	T1	17	0
grp-16	T1	18	0
grp-16	T1	19	0
grp-16	T1	20	0
grp-16	T1	21	3
grp-16	T1	22	3
grp-16	T1	23	3
grp-16	T2	3	3
grp-16	T2	4	3
grp-16	T2	5	2
grp-16	T2	6	2
grp-16	T2	7	2
grp-16	T2	8	4
grp-16	T2	9	4
grp-16	T2	10	4
grp-16	T2	11	4
grp-16	T2	12	4
grp-16	T2	13	4
grp-16	T2	14	4
grp-16	T2	15	0
grp-16	T2	16	0
grp-16	T2	17	0
grp-16	T2	18	0
grp-16	T2	19	0
grp-16	T2	20	0
grp-16	T2	21	0
grp-16	T2	22	2
grp-16	T2	23	3
grp-16	T2	24	3
grp-16	T2	25	3
grp-16	T3	10	4
grp-16	T3	11	4
grp-16	T3	12	4
grp-16	T3	13	4
grp-16	T3	14	4
grp-16	T3	15	4
grp-16	T3	16	4
grp-16	T3	17	4
grp-16	T3	18	4
grp-16	T3	19	4
grp-16	T3	20	4
grp-16	T3	21	4
grp-16	T3	22	4
grp-16	T3	23	4
grp-16	T3	24	4
grp-16	T3	25	4
grp-16	T3	26	4
grp-16	T3	27	4
grp-16	T3	28	4
grp-16	T3	29	3
grp-16	T3	30	3
grp-16	T3	31	2
grp-16	T3	32	3
grp-16	T3	33	3
grp-16	T3	34	3
