onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms
610.985	5.496	GROUP	(5.5)	SIL				shared	manual	0				3710
611.330	0.500	P1	yeah	BCK				shared	manual	-5151				500
613.264	0.560	P4	yeah	BCK		0.053168	4.06	mic12	manual	1434				560
613.831	6.040	GROUP	[GROUP LAUGHTER]	LAU				shared	manual	7				6040
616.481	3.259	P1	So should we say three and four are more aligned?	SPK		0.068022	1.52	mic9	manual	-3390	5496	5496		3259
619.740	0.912	GROUP	(0.9)	SIL				shared	manual	0				131
620.652	1.641	P1	with working across teams.	SPK		0.017746	6.00	mic9	manual	0	912	9667		
622.293	8.707	GROUP	(8.7)	SIL				shared	manual	0				2400
624.393	1.229	P2	yeah	BCK				shared	manual	-6607				1229
625.833	1.171	P2	um	FP				shared	manual	211				1171
631.000	12.000	P2	And maybe just easier to coordinate with the lecture and q&a, but	SPK				shared	manual	3996	8707	8707		1000
641.331	0.500	P2	yeah	BCK				shared	manual	-1669				500
642.208	0.500	P3	yeah	BCK				shared	manual	377			11208	500
643.000	0.090	GROUP	(.)	SIL				shared	manual	292				
643.090	7.513	P3	But I can feel like all the four topics, four formats are quite relevant.	SPK		0.018022	4.71	mic11	manual	0	90	90		0
650.603	0.280	GROUP	(0.3)	SIL				shared	manual	0				12
650.871	1.191	P2	mmh	BCK				shared	manual	-12				1191
650.883	5.990	P3	I think because to work better across teams, you can also need to know about yourself and know a bit of like	SPK		0.027561	5.44	mic11	manual	-1179	280	7883		1179
656.873	2.282	GROUP	(2.3)	SIL				shared	manual	0				0
659.155	0.701	P3	Like insights.	SPK		0.021964	5.02	mic11	manual	0	2282	16155		0
659.856	0.280	GROUP	(0.3)	SIL				shared	manual	0				131
660.005	0.920	P2	mm-hmm	BCK				shared	manual	-131				1420
660.136	1.912	P3	So like online training can work.	SPK		0.033468	2.43	mic11	manual	-789	280	17136		1589
660.243	0.500	P2	mm-hmm	BCK				shared	manual	-1805			107	1000
661.898	1.702	P3	Lecture also can also work.	SPK		0.029250	5.06	mic11	manual	1155	-150	18898		300
661.898	0.150	P3	[OVL:smooth]	OVL	smooth			shared	manual	-1702				300
663.600	0.320	GROUP	(0.3)	SIL				shared	manual	1552				275
663.645	1.092	P2	mm-hmm	BCK				shared	manual	-275				1092
